article_title;birth_date;death_date;death_place;religion;death_cause;honorific_prefix;birth_name;parents;spouse;children;profession;alma_mater;birth_place;summary;wikiurl;relatives;image
Mohamad Suleman Hidayat;1944-12-02;;;Islam;;;;;Nuraini Mahdiati;"Rully Hidayat
Erik Hidayat 
Maxi Hidayat
Kemal Hidayat
Nayaka Untara Nurul Insani Hidayati";Politikus;Universitas Padjadjaran;Jombang, Jawa Timur, Masa Pendudukan Jepang;Ir. H. Mohamad Suleman Hidayat (lahir 2 Desember 1944), adalah seorang politikus Indonesia yang pernah menjabat sebagai Menteri Perindustrian Indonesia dari 22 Oktober 2009 hingga 20 Oktober 2014. Sebelumnya ia menjabat sebagai Ketua KADIN sejak 2003 hingga 2013. Dia memperoleh gelar S1 dari Fakultas Ekonomi dan bisnis Universitas Padjadjaran. Karena ingin menfokuskan diri di jabatan Menteri Industri, jabatan ketua Kadin dilepas dan digantikan oleh Adi Putra Darmawan Tahir pada tahun 2010. Sebelumnya ia juga pernah menjabat sebagai ketua Real Estate Indonesia (1989 – 1992) dan wakil ketua Federasi Real Estate Asia Pasifik (Asia Pacific Real Estate Federation/APREF), dan juga sebagai anggota komisi keuangan dan perbankan DPR pada periode 2004-2009.;https://id.wikipedia.org/wiki/Mohamad_Suleman_Hidayat;;Mohamad Suleman Hidayat.jpg
Chaerul Saleh;1916-09-13;1967-02-08;Jakarta, Indonesia;Islam;;;;;Yohana Siti Menara Saidah;;;;Belanda Sawahlunto, Sumatera Barat, Hindia Belanda;Jenderal TNI (HOR) (Anumerta) Dr. (H.C.) H. Chaerul Saleh gelar Datuk Paduko Rajo (13 September 1916 – 8 Februari 1967) adalah seorang pejuang dan tokoh politik Indonesia yang pernah menjabat sebagai wakil perdana menteri, menteri, dan ketua MPRS dari tahun 1957 sampai 1966. Ia juga mengajukan ide negara kepulauan dengan batas teritorial 12 mil laut yang di­sahkan pada 13 Desember 1957. Atas jasa-jasanya, Chaerul dianugerahi gelar kehormatan Jenderal TNI.;https://id.wikipedia.org/wiki/Chaerul_Saleh;;ChairulSaleh.jpg
Notohatyanto;1907-09-10;;;;;;;;;;;;Rembang, Jawa Tengah, Hindia Belanda;Mr. Raden Panji Notohatyanto (lahir 10 September 1907) merupakan seorang birokrat dari Indonesia yang menjabat sebagai Kepala Jawatan Imigrasi dari tahun 1960 hingga 1961.;https://id.wikipedia.org/wiki/Notohatyanto;;Collectie NMvWereldculturen, TM-60042253, Foto- De delegatie van Oost-Java tijdens een Federale conferentie voor een Federaal Indonesie, Batavia, 14 juni 1948, 1948 (Notohatyanto).jpg
Agung Firman Sampurna;1971-11-19;;;Islam;;Dr.;;Kahar Muzakir;Dian Anggraini;Rahmat Sampurna;;;Madiun, Jawa Timur, Indonesia;Dr. Agung Firman Sampurna, S.E., M.A.P., CSFA., CFrA., CGCAE., QGIA. (lahir 19 November 1971) adalah birokrat Indonesia yang menjabat Ketua Badan Pemeriksa Keuangan Republik Indonesia antara tahun 2019 dan 2022. Agung terpilih secara aklamasi oleh sembilan anggota BPK menggantikan Moermahadi Soerja Djanegara. Sebelumnya, ia menjabat sebagai Anggota I BPK-RI periode 2014–2019, Anggota III (2012–2013), dan Anggota V (2013–2014).;https://id.wikipedia.org/wiki/Agung_Firman_Sampurna;"Wahyu Sanjaya
Dewi Yustisiana";Ketua BPK RI Agung Firman Sampurna.jpg
Syarief Thayeb;1920-07-07;1989-11-11;;Islam;;;;Teuku Chik Mohammad Thayeb;;;;"Universitas Indonesia
Harvard University
Mindanao University";Peureulak, Aceh, Hindia Belanda;Letnan Jenderal TNI (Purn.) Dr. (H.C.) dr. Teuku Mohammad Syarif Thayeb (7 Juli 1920 – 3 November 1989) adalah dokter, professor, dan tokoh pemerintahan. Jabatan yang pernah diduduki adalah Menteri Pendidikan dan Kebudayaan Indonesia tahun 1974 hingga tahun 1978 pada Kabinet Pembangunan II. Ia juga pernah menjabat sebagai Duta Besar Indonesia untuk Amerika Serikat pada tahun 1971 (menggantikan Soedjatmoko) hingga 1974. Terakhir ia menjadi anggota Dewan Pertimbangan Agung. Ia berpendapat, kebebasan mimbar akademis meliputi kebebasan berpendapat serta penyampaian ilmu pengetahuan dan teknologi secara lisan maupun tertulis.;https://id.wikipedia.org/wiki/Syarief_Thayeb;Teuku Mohammad Hadi Thayeb;File:Syarief Thayeb, Duta Besar RI untuk Amerika Serikat.jpg
Raden Mas Sewaka;1895-01-01;;;;;;Raden Tumenggung Aria;;;;;;Cirebon, Jawa Barat, Hindia Belanda;"Raden Tumenggung Aria atau yang dikenal dengan R. Mas Sewaka (aksara Sunda: ᮛᮓᮨᮔ᮪ ᮒᮨᮙᮨᮀᮌᮥᮀ ᮃᮛᮤᮃ; 1895–1967) adalah gubernur Jawa Barat keempat. Menjabat dari tahun 1947–1948 dan 1950–1951. Gubernur Jabar keempat dan keenam ini lahir di Cirebon, Jawa Barat tahun 1895, hampir seluruh masa hidupnya dihabiskan dalam bidang pemerintahan di Jabar. Ia meniti karier mulai dari pegawai magang juru tulis wedana Losari, Mantri Polisi Weru, dan camat Jatiwangi. Sebelum menjadi gubernur, Sewaka diperbantukan kepada Gubernur Jabar Dr. Murjani di Tasikmalaya, Jawa Barat (1946) karena situasi Bandung yang tidak menentu dengan adanya tentara NICA. Sewaka juga pernah menjadi Bupati Cirebon dari tahun 1943-1945";https://id.wikipedia.org/wiki/Raden_Mas_Sewaka;;Mr. mas sewaka 1947-1948, 1950-1952.jpg
Slamet Kirbiantoro;1948-03-18;2018-07-19;Jakarta;;;;;;Muchayisoh;;;Akademi Tentara Nasional Indonesia;Kutoarjo, Purworejo, Jawa Tengah;Mayor Jenderal TNI (Purn.) Slamet Kirbiantoro (18 Maret 1948 – 19 Juli 2018) adalah seorang purnawirawan perwira tinggi TNI Angkatan Darat dengan pangkat terakhir Mayor Jenderal. Kirbiantoro lulus Akademi Tentara Nasional Indonesia di Magelang pada tahun 1970, dia lebih dikenal sebagai mantan Pangdam Jayakarta Pada tahun 2000-2001 pada masa jabatan presiden Abdurrahman Wahid. Jabatan terakhir di TNI adalah Wakil Irjen Mabes TNI dengan pangkat Mayor Jenderal.;https://id.wikipedia.org/wiki/Slamet_Kirbiantoro;;kirbiantoro01.jpg
Mochtar Kusumaatmadja;1929-02-17;2021-06-06;Jakarta, Indonesia;;;;;;Siti Chadidjah;Armida Alisjahbana;Diplomat;"Universitas Indonesia
Universitas Padjajaran";Batavia, Hindia Belanda;"Prof. Dr. Mochtar Kusumaatmadja, S.H., LL.M. (17 Februari 1929 – 6 Juni 2021) adalah seorang akademisi dan diplomat Indonesia. Ia pernah menjabat sebagai Menteri Kehakiman dari tahun 1974 sampai 1978 dan Menteri Luar Negeri dari tahun 1978 sampai 1988. Selain itu ia adalah guru besar di Fakultas Hukum Universitas Padjadjaran Bandung. Definisinya tentang hukum adalah ""Hukum adalah keseluruhan asas-asas dan kaidah-kaidah yang mengatur kehidupan masyarakat, termasuk didalamnya lembaga dan proses untuk mewujudkan hukum itu ke dalam kenyataan"", dianggap paling relevan dalam menginterpretasikan hukum pada saat ini. Doktrin tersebut menjadi mahzab/prinsip yang dianut di Fakultas Hukum Universitas Padjadjaran hingga saat ini.";https://id.wikipedia.org/wiki/Mochtar_Kusumaatmadja;;Mochtar Kusumaatmadja (1978).jpg
Mashudi;1919-09-11;2005-06-22;Jakarta, Indonesia;Islam;;;Mashudi;;Yetty Rochyati;;;;Cibatu, Garut, Jawa Barat, Hindia BelandaApa Siapa Orang Sunda;Letnan Jenderal TNI (Purn.) Dr. (H.C.) H. Mashudi 11 September 1919 – 22 Juni 2005) adalah mantan Gubernur Jawa Barat dan mantan Ketua Kwartir Nasional (Kwarnas) Gerakan Pramuka pada tahun 1978–1993.;https://id.wikipedia.org/wiki/Mashudi;;Gubernur Jawa Barat Mashudi.jpg
Roeslan Abdulgani;1914-11-24;2005-06-29;Jakarta, Indonesia;;;;;;;;Diplomat;;Surabaya, Hindia Belanda;Prof. Dr. (H.C.) H. Roeslan Abdulgani (24 November 1914 – 29 Juni 2005) adalah negarawan dan politikus Indonesia yang merupakan Menteri Luar Negeri Indonesia pada tahun 1956-1957. Dia akrab dipanggil Cak Roes. Dia juga pernah menjadi Rektor IKIP Bandung yang pertama periode 1964-1966, dan tercatat sebagai Pimpinan ke 3 Kampus Bumi Siliwangi sejak bernama PTPG Bandung.;https://id.wikipedia.org/wiki/Roeslan_Abdulgani;;Roeslan Abdulgani, Kami Perkenalkan (1954), p37.jpg
Widjojo Soejono;1928-05-09;2022-05-11;Jakarta Pusat;Islam;;;;;Siti Mastoechajah;"Enny Lukitaning Diah
Wedhia Purwaningsih
Ariyati Sihwarini
Hardini Surjaningsih
Budhi Soejono";;;Tulungagung, Jawa Timur;Jenderal TNI (Purn.) Widjojo Soejono (9 Mei 1928 – 11 Mei 2022) merupakan seorang purnawirawan dengan pangkat bintang empat di pundaknya. Dan mantan Komandan Puspasus sekarang Kopassus ke-6 periode 1967-1970.;https://id.wikipedia.org/wiki/Widjojo_Soejono;;250px
Alamsyah Ratu Perwiranegara;1925-12-25;1998-01-08;Jakarta, Indonesia;;;;;;Siti Maemunah;;;"Gyu Gun
U.S Army General and Command Staff College";Kotabumi, Lampung, Hindia Belanda;Letnan Jenderal TNI (Purn.) H. Alamsyah Ratu Perwiranegara (25 Desember 1925 – 8 Januari 1998, juga ditulis Alamsjah Ratoe Prawiranegara) adalah tokoh militer Indonesia yang pernah menjabat sebagai menteri dan duta besar.;https://id.wikipedia.org/wiki/Alamsyah_Ratu_Perwiranegara;;Alamsyah Ratu Perwiranegara - Fourth Development Cabinet.jpg
Mursalin Daeng Mamangung;1922-11-20;2006-11-18;Jakarta, Indonesia;Islam;;;;;;;;;Selayar, Sulawesi Selatan, Hindia Belanda;Laksdya. TNI (Purn.) H. Mursalin Daeng Mamangung (20 November 1922 – 18 November 2006), adalah Menteri Tenaga Kerja pada Kabinet Pembangunan I. Beliau wafat di Jakarta pada tanggal 18 November 2006 dalam usia 83 tahun dan dimakamkan di Taman Makam Pahlawan Nasional Utama (TMPNU) Kalibata, Jakarta Selatan.;https://id.wikipedia.org/wiki/Mursalin_Daeng_Mamangung;;Mursalin Daeng Malulung, Jalesveva Jayamahe, p216.jpg
Ali Sadikin;1926-07-07;2008-05-20;Singapura;;;;Ali Sadikin;;"Nani Sadikin
Linda Syamsudi Mangan";;Tentara;;Sumedang, Jawa Barat, Hindia Belanda;"Letnan Jenderal KKO (Purn.) Ali Sadikin (Sunda: ᮃᮜᮤ ᮞᮓᮤᮊᮤᮔ᮪; 7 Juli 1926 – 20 Mei 2008) Atau lebih akrab dengan nama panggilan Bang Ali adalah seorang letnan jenderal KKO-AL (Korps Komando Angkatan Laut) yang ditunjuk oleh Presiden Soekarno menjadi Gubernur Jakarta pada tahun 1966 yang kemudian diduetkan dengan Laksamana Muda Udara Raden H. Atje Wiriadinata untuk membangun Ibu Kota Republik Indonesia.";https://id.wikipedia.org/wiki/Ali_Sadikin;;Ali_Sadikin_(1975).jpg
Maskanan;;;;;;;;;;;;;;Brigadir Jenderal TNI (Purn.) Maskanan merupakan seorang perwira tinggi Angkatan Darat. Dan pernah menjabat Kepala Jawatan Keuangan Angkatan Darat pada 5 September 1975.;https://id.wikipedia.org/wiki/Maskanan;;Maskanan, Financial Director of the Indonesian Army.jpg
Herman Deru;1967-11-17;;;Islam;;;;;Febrita Lustia;Percha Leanpuri;;"Universitas Sjakhyakirti Palembang
STIE Trisna Negara";Belitang, Ogan Komering Ulu Timur, Sumatera Selatan, Indonesia;H. Herman Deru, S.H., M.M. gelar Cek Deru (lahir 17 November 1967) adalah politikus yang pernhah menjabat Gubernur Sumatera Selatan periode 2018-2023. Sebelumnya, Ia pernah menjabat sebagai Bupati Ogan Komering Ulu Timur dua periode sejak 2005 hingga 2015.;https://id.wikipedia.org/wiki/Herman_Deru;;Herman Deru, Gubernur Sumatera Selatan.png
Pahri Azhari;1962-07-03;2020-04-23;Palembang, Sumatera Selatan, Indonesia;Islam;;;;;Ir. Hj. Lucianty Pahri, S.E;"Iman Falucki
Anggia Fabelita
M. Facrel Ardafa
Divia Faradiba";;Universitas Sriwijaya;Palembang, Sumatera Selatan, Indonesia;Ir. H. Pahri Azhari (3 Juli 1962 – 23 April 2020) adalah Bupati Musi Banyuasin 2 periode yakni 2008—2012 dan 2012—2015. Sebelumnya, ia adalah anggota DPRD Kabupaten Musi Banyuasin dari Partai Amanat Nasional, dan terpilih sebagai Wakil Bupati Musi Banyuasin periode 2007—2012 mendampingi Alex Noerdin. Karena Alex Noerdin mengundurkan diri untuk maju dalam Pemilihan Umum Kepala Daerah dan Wakil Kepala Daerah sebagai Calon Gubernur Sumatera Selatan, Pahri Azhari dilantik sebagai Bupati Musi Banyuasin pada tanggal 29 Juli 2008.;https://id.wikipedia.org/wiki/Pahri_Azhari;;Berkas:Pahri Azhari Regent of Musi Banyuasin and Deputy Regent of Musi Banyuasin.jpg
Abdul Azis Bustam;1926-06-06;1982-07-16;Port Moresby, Papua Nugini;;;;;;;;;;Mare, Bone, Celebes, Hindia Belanda;Mayor Jenderal TNI (Purn.) Abdul Azis Bustam (6 Juni 1926 – 16 Juli 1982) merupakan seorang perwira tinggi angkatan darat dan diplomat dari Indonesia.;https://id.wikipedia.org/wiki/Abdul_Azis_Bustam;;Abdul Azis Bustam, Buku Pelengkap IV Pemilihan Umum 1977 (1978), p262.jpg
Amir Machmud;1923-02-21;1995-04-21;Cimahi, Jawa Barat, Indonesia;;;;;;"Siti Hadidjah
Shri Hardhani Sadat Siswojo";"Anon Badariah
Bambang Permadi Amir Machmud";;Akademi Militer;Cimahi, Hindia Belanda;Jenderal TNI (Purn.) Amir Machmud (21 Februari 1923 – 21 April 1995) adalah seorang Jenderal Militer Indonesia yang merupakan saksi mata penandatanganan Supersemar, sebuah dokumen serah terima kekuasaan dari Presiden Soekarno kepada Jenderal Soeharto.;https://id.wikipedia.org/wiki/Amir_Machmud;;Amirmachmud.jpg
Aksa Mahmud;1945-07-16;;;Islam;;;;;Ramlah Kalla;"Erwin Aksa
Sadikin Aksa
Melinda Aksa
Atira Aksa
Subhan Aksa";;Universitas Hasanuddin;Lapasu, Balusu, Barru, Sulawesi;Ir. H. Aksa Mahmud (lahir 16 Juli 1945) adalah pengusaha dan politikus Indonesia. Ia dikenal luas sebagai pendiri Bosowa Corp yang menjadikan Aksa Mahmud menduduki peringkat 38 dalam daftar 40 orang terkaya versi Forbes. Berdasarkan catatan Forbes ia memiliki kekayaan sebesar US$780 juta. Bosowa Corp. merupakan perusahaan yang bergerak di bidang Otomotif, Semen, Logistik & Transportasi, Pertambangan, Properti, Jasa Keuangan, Infrastruktur, Energi, Media, Pendidikan (Bosowa School & Uiversitas) dan Multi Bisnis. Aksa Mahmud juga memiliki saham di PT Bank Bukopin Tbk., dan PT Bank QNB Kesawan Tbk.;https://id.wikipedia.org/wiki/Aksa_Mahmud;Jusuf Kalla;Aksa Mahmud.jpg
Sunawar Sukowati;1922-09-06;1986-01-12;Bogor, Jawa Barat, Indonesia;;;;;;;Edwin Sunawar Sukowati;;"Universitas Gadjah Mada
Universitas Padjadjaran";Solo, Jawa Tengah, Hindia Belanda;Dr. Sunawar Sukowati, S.H (06 September 1922 – 12 Januari 1986) adalah pengacara dan politisi berkebangsaan Indonesia. Dia adalah mantan Menteri Negara Bidang Pengawasan Proyek-proyek Pemerintah atau yang kini dikenal dengan Kepala Bappenas yang menjabat pada 10 Juni 1968 hingga 9 September 1971. Kemudian, ia menjadi Menteri Negara Pengawasan Operasional Pembangunan dan kemudian menjadi Menteri Negara Kesejahteraan Rakyat pada 28 Maret 1973 hingga 29 Maret 1978.;https://id.wikipedia.org/wiki/Sunawar_Sukowati;;Sunawar Sukowati.jpg
Djatmikanto Danumartono;1944-06-05;;;;;;;;;;;;Semarang, Hindia Belanda Jepang;Mayor Jenderal TNI (Purn.) Djatmikanto Danumartono (lahir 5 Juni 1944) merupakan seorang perwira tinggi angkatan darat dan politikus dari Indonesia. Ia menjabat sebagai Wali Kota Yogyakarta dari tahun 1986 hingga 1991 dan anggota Dewan Perwakilan Rakyat dari tahun 1992 hingga 1999.;https://id.wikipedia.org/wiki/Djatmikanto_Danumartono;;Wali Kota Djatmikanto Danumartono.jpg
Edi Sudradjat;1938-04-22;2006-12-01;Jakarta, Indonesia;;;;;;Lulu Lugiyati;"Ir. Iwan Darmawan
Ir. Ita Setia Wati
Brigjen TNI (Purn.) Iman Budiman
Kolonel Inf. Andi Gunawan";;Akademi Militer;Jambi, Hindia Belanda;Jenderal TNI (Purn.) Edi Sudradjat, S.H. (22 April 1938 – 1 Desember 2006) adalah kakek keiko dan salah seorang tokoh militer Indonesia. Ia adalah satu-satunya orang yang pernah menjabat sebagai Kepala Staf TNI-AD (KSAD), Panglima ABRI dan Menteri Pertahanan dan Keamanan Indonesia dalam waktu yang bersamaan.;https://id.wikipedia.org/wiki/Edi_Sudradjat;;Sixth Development Cabinet Poster (Edi Sudradjat).jpg
Soebekti;1914-05-14;1992-12-09;Bandung, Indonesia;;;;;;;;;;Surakarta, Hindia Belanda;R. Soebekti, S.H. (14 Mei 1914 – 9 Desember 1992) adalah Ketua Mahkamah Agung Republik Indonesia periode 1968 hingga tahun 1974.Sebelum menjabat sebagai Ketua Mahkamah Agung, ia pernah menjabat Hakim Pengadilan Negeri Semarang (1942), Ketua Pengadilan Negeri Purworejo (1944), Panitera Mahkamah Agung R.I. (1946), Hakim Anggota pada Pengadilan Tinggi Makasar (1952), Ketua Pengadilan Tinggi Jakarta (1955), dan sebagai Hakim Agung pada Mahkamah Agung R.I. (1958). Selain itu, bersama dengan R. Tjitrosoediro menerjemahkan Burgelijke Wetboek (terkenal dengan singkatan BW) menjadi Kitab Undang-Undang Hukum Perdata atau KUH Perdata. Ia juga menerjemahkan KUH Dagang, UU Kepailitan, dan Kamus Hukum.;https://id.wikipedia.org/wiki/Soebekti;;R. Subekti.png
Achmad Wiranatakusumah;1925-10-11;1999-09-27;Jakarta;Islam;;;;;;"Siti Fatimah Ratnasangkara Wiranatakusumah
Antar Yuma Tulisa Wiranatakusumah
Roxanne Siti Aminah Kurniati Wiranatakusumah
Attila Nuh Achmad Nasran Wiranatakusumah
Marsdya TNI (Purn.) Kisenda Wiranata
Achmad Ingemar Laguna
Kisano Alam Wiranatakusumah";;;Bandung, Hindia Belanda;Letnan Jenderal TNI (Purn.) Raden Achmad Wiranatakusumah (11 Oktober 1925 – 27 September 1999) adalah seorang Purnawirawan perwira tinggi TNI Angkatan Darat dengan jabatan terakhir Sekretaris Jenderal Dewan Ketahanan Nasional. Ia terkenal saat menjabat Komandan Batalyon 26 Brigade Guntur II yang populer dijuluki Batalyon Siluman Merah.;https://id.wikipedia.org/wiki/Achmad_Wiranatakusumah;;
Kahar Muzakir;1946-12-10;;;Islam;;;;;Suci Rohani;"Agung Firman Sampurna
Wahyu Sanjaya
Dewi Yustisiana";;IKIP Yogyakarta;Pengaturan, Batanghari Leko, Musi Banyuasin, Sumatra, Indonesia;Kahar Muzakir (lahir 10 Desember 1946) adalah politikus Indonesia yang menjabat anggota DPR RI dari Fraksi Partai Golkar selama lima periode: 2004–2009, 2009–2014, 2014–2019, 2019–2024, dan 2024–2029.;https://id.wikipedia.org/wiki/Kahar_Muzakir;;File:Anggota DPR Kahar Muzakir.jpg
