article_title,honorific-prefix,name,honorific-suffix,image,smallimage,order,president,office,term_start,term_end,lieutenant,succeeding,predecessor,governor,successor,vicepresident,viceprimeminister,deputy,monarch,primeminister,taoiseach,chancellor,governor-general,order1,president1,office1,term_start1,term_end1,lieutenant1,succeeding1,predecessor1,governor1,successor1,vicepresident1,viceprimeminister1,deputy1,monarch1,primeminister1,taoiseach1,chancellor1,governor-general1,order2,office2,term_start2,term_end2,lieutenant2,succeeding2,predecessor2,president2,governor2,successor2,vicepresident2,viceprimeminister2,birthname,birth_date,birth_place,death_date,death_place,nationality,restingplace,restingplacecoordinates,party,otherparty,spouse,partner,relatives,children,parents,residence,alma_mater,occupation,allegiance,serviceyears,rank,branch,unit,battles,awards,laterwork,profession,signature,website,facebook,facebookpage,twitter,premier2,4namedata7,currentlyresides,honorific prefix,othername,relations,signature_size,order8,term_start3,term_start11,vicepresident6,primeminister6,predecessor7,term_label,office3,1namedata1,constituency1,order9,image_upright,networth,1blankname8,2,president11,2blankname7,body_discovered,military_data2,co-leader1,governor5,monuments,influences,criminal_charge,blank1,vicepresident5,education,Alma_mater,deathplace,parliamentarygroup,office5,term_end15,source,successor6,predecessor14,office6,military_blank4,alongside6,majority,constituency_MP4,notable,1blankname4,relation,alongside,vicepresident4,military_blank5,imagesi♫ze,term_start10,term_start5,placeofburial,filmfareawards,successor7,term_end11,1namedata7,termstart1,committees,portrayedby,imagesize,majority2,term_start6,module4,blank4,term_start12,resting_place_coordinates,termend1,constituency6,1,appointer2,birth_name,predecessor3,appointer,servicenumber,term_end8,order12,data5,monarch2,Commander4,president15,honorific_prefix,successor10,location,parliament3,1blankname1,deputy2,Term_start5,branch_label,order3,term_end9,president4,co-leader2,president8,predecessor15,Primeminister5,majority1,military_data1,parliamentarygroup1,parliament4,order4,successor12,succeeding4,native_name_lang,military_data3,president7,smallimage_alt,caption,predecessor6,alt,data1,commands,order5,successor11,term_end4,data4,3namedata7,1blankname6,governor3,year,alongside3,appointed,1blankname2,office14,4blankname7,term_end14,influenced,office12,predecessor11,profesion,military_data5,mother,mawards,1namedata6,battles_label,military_data4,years_active,office7,president6,constituency7,office4,date,term_start9,ambassador_from,command,predecessor9,parliamentarygroup2,2namedata7,1namedata5,successor9,term_end10,1namedata3,predecessor12,father,lieutenant8,1namedata2,prior_term,predecessor10,alongside5,term_start7,constituency8,term_end7,primeminister4,ethnicity,lieutenant3,successor13,military_blank2,family,majority3,deputy3,president9,data3,predecessor8,term_start15,deathdate,president5,death_cause,co-leader,order10,President5,native_name,religion,height,placeofburial_label,Succeeding5,office10,module2,1namedata8,citizenship,primeminister3,serviceyears_label,other_name,1blankname3,order14,president12,office11,term_end3,net_worth,governor_general,suboffice,constituency4,term_start8,resting_place,memorials,military_blank1,president3,salary,predecessor13,primeminister2,other_names,term_end13,honorific_suffix,nickname,constituency2,1namedata,successor3,blank3,criminal_penalty,3blankname7,subterm,1blankname7,placeofburial_coordinates,1blankname,blank5,constituency,constituency3,term_end6,term_end12,termstart3,module3,successor14,enteredservice,order7,primeminister5,order6,termstart2,term_start14,office9,successor4,vicepresident3,portfolio,constituency_MP3,image_size,module5,honorific suffix,successor8,lieutenant4,office8,predecessor5,term_label5,termend3,module,country,termend2,blank2,predecessor4,successor15,1blankname5,yearsactive,pronunciation,signature_alt,1namedata4,term_start13,state,term_start4,data2,office15,footnotes,rank_label,known_for,successor5,alongside2,succeeding5,succeeding3,term_end5,status,cabinet,Cicit,alongside4,military_blank3
Tandiono Manu,,Tandiono Manu,,Tandiono Manu.jpg,,,,Menteri Pertanian,6 September 1950,27 April 1951,,,Sadjarwo Djarwonagoro,,Suwarto,,,,,Mohammad Natsir,,,,,,Menteri Perdagangan dan Industri,21 Januari 1950,6 September 1950,,,Sumitro Djojohadikusumo,,I.J. Kasimo,,,,,Abdul Halim,,,,,,,,,,,,,,,,,1913 6 28 y,"Banyuwangi, Hindia Belanda",1986 10 30 1913 6 28,,,,,Partai Sosialis Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Nazir,Laksamana Muda TNI (Purn.),,,"Commodore M Nazir, Jalesveva Jayamahe, p215.jpg",,ke-2,Soekarno,Kepala Staf TNI Angkatan LautPanglima Angkatan Laut RI,6 Februari 1946,8 Mei 1948,,,Mas Pardi,,R. Soebijakto,,,,,,,,,,,,,,,,,,,,,,,,,,,ke-11,Menteri Perhubungan IndonesiaMenteri Perhubungan Laut Indonesia,9 April 1957,10 Juli 1959,,,Sjuchjar Tedjasukmana,Soekarno,,DjatikusumoAbdoelmoettalip DanoeningratR. Iskandar,,,,1910 07 10 y,"Maninjau, Agam, Hindia Belanda",1982 08 30 1910 07 10,Jakarta,Indonesia,,,,,,,,,,,,,Indonesia,1938 - 1965,25px Laksamana Muda TNI,28px TNI Angkatan Laut,Korps Pelaut,,,,Tentara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sukardan,,,,,,,,
Witarmin,Letnan Jenderal TNI (Purn.),,,Witarmin.jpg,,ke-7,,Komandan Jenderal Komando Pasukan Khusus,1970,1975,,,Brigjen TNI Widjoyo Suyono,,Brigjen TNI Yogie Suardi Memet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925 2 2,"tepi|link=Hindia Belanda|22px Kertosono, Nganjuk, Jawa Timur, Indonesia",1983 7 5 1925 2 2,"Surabaya, Jawa Timur, Indonesia",,,,,,Ny. Suratmi,,,1. Nunuk Indrinuswati2. Wiwiek Dwi Judajati3. Anik Umi Heriyani4. Sudiono,,,,,Indonesia,1942 - 1983,25px Letnan Jenderal TNI,25px TNI Angkatan Darat,Infanteri (Kopassandha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poedjono Pranyoto,,Poedjono Pranyoto,,"Poedjono Pranyoto, Deputy Speaker of the People's Consultative Assembly.jpg",,,Soeharto B.J. Habibie,Wakil Ketua Majelis Permusyawaratan Rakyat(Utusan Daerah),3 Oktober 1997,1 Oktober 1999,,,Yasir Hadibroto,,Oesman Sapta Odang,,,,,,,,,ke-5,Soeharto,Gubernur Lampung,11 Mei 1988,3 Oktober 1997,Subki E. Harun (1988–90)Man Hasan (1990–95)Suwardi Ramli (1994–97)Oemarsono (1995–97),,Yasir Hadibroto,,Oman Sachroni (penjabat)Oemarsono,,,,,,,,,,Wakil Gubernur Irian Jaya,27 Agustus 1987,11 Mei 1988,,,Sugiyono,,Izaac Hindom,Soedardjat Nataatmadja,,,,1936 8 6 y,"Purwokerto, Hindia Belanda",2021 12 2 1936 8 6 y,"Jakarta, Indonesia",,,,,,,,,,,,,,Indonesia,1961–1991,25px|  Letnan Jenderal TNI (Kehormatan),25px TNI Angkatan Darat,Zeni,,,,,,,,,,,,,,,,,,November 1979,,,,,,Bupati Cilacap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RYK Moekmin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soepardjo Rustam Muhammad Ismail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27 Agustus 1987,,,,,,,,,,,,,,,,,,,Mohamad Supardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ade Komarudin,,Ade Komarudin,,Official Portrait of Ade Komaruddin.jpg,,ke-17,Joko Widodo,Ketua Dewan Perwakilan Rakyat,11 Januari 2016,30 November 2016,Fadli Zon(B. Politik & Keamanan)Agus Hermanto(B. Industri & Pembangunan)Taufik Kurniawan(B. Ekonomi & Keuangan)Fahri Hamzah(B. Kesejahteraan Rakyat),,Setya NovantoFadli Zon (Pelaksana Tugas),,Setya Novanto,,,,,,,,,,,Anggota Dewan Perwakilan Rakyat Republik Indonesia,1 Oktober 1997,30 September 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,1965 5 20 y,"Purwakarta, Jawa Barat, Indonesia",,,,,,Golkar,,Netty Marliza,,,3 (termasuk Puteri Anetta Komarudin),,,Institut Agama Islam Negeri Syarief HidayatullahUniversitas Padjadjaran,,,,,,,,,,Politikus,,,,,,,,,,,,,,,,,,,,,,Jawa Barat(1997–2004)Jawa Barat VI(2004–2009)Jawa Barat VII(2009–2019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Potret resmi, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juwono Sudarsono,,,,Menteri Pertahanan Juwono Sudarsono.jpg,,ke-16,Megawati Soekarnoputri,Duta Besar Indonesia untuk Britania Raya,2003,2004,,,Nana Sutresna,,Marty Natalegawa,Hamzah Haz,,,,,,,,,,,,,,,,,,,,,,,,,,ke-20,Menteri Pertahanan Indonesia,29 Oktober 1999,26 Agustus 2000,,,Wiranto,Abdurahman Wahid,,Mohammad Mahfud MD,Megawati Soekarnoputri,,,1942 3 5 y,"Ciamis, Jawa Barat, Masa Pendudukan Jepang",,,,,,Independen,,,,,2,,,Universitas Indonesia  London School of Economics and Political Science,"Politikus, profesor",,,,,,,,,,,,,,,,,,,,Mochtar Kusumaatmadja (sepupu)  Sarwono Kusumaatmadja (sepupu)  Armida Alisjahbana (keponakan),,,21 Oktober 2004,,,,,,,,,,,,,,,,,,,,,,,,Bacharuddin Jusuf Habibie,,,,,Menteri Negara Lingkungan Hidup Indonesia,,,,,,,,,,,,,,,,,,16 Maret 1998,,,,,,,,,250px,,,,,,,,,,,,Matori Abdul Djalil,,,,,,,,,,,,,,,,,,,Baharuddin Jusuf Habibie,,,,,,,,,ke-22,,,,,,,Foto resmi Juwono Sudarsono sebagai Menteri Pertahanan Indonesia,,,,,ke-3,,20 Oktober 1999,,,,,,,,,,,,,,,,,Moespiah Soerawisastra,,,,,,,,,Menteri Pendidikan dan Kebudayaan Indonesia,,,,,,,,,,,,,Sudarsono Mangoenadikoesoemo,,,,,,,,,,,,,,,,,,,,,,Soeharto,,,,,,,,,,,,,,,,,,,,,20 Oktober 2009,,,,,,,,,Susilo Bambang Yudhoyono,,,,,,,,,Nur Hassan Wirajuda,Purnomo Yusgiantoro,,,,,,,Menteri Luar Negeri,,,,,,,,,,,,,,,,Yahya Muhaimin,Muhammad Jusuf Kalla,,,,,,,,,Sarwono Kusumaatmadja,,,,,,,Wiranto Arismunandar,,,,,,,,,23 Mei 1998,,,,,,Panangian Siregar,,,,21 Mei 1998,,Kabinet Pembangunan VII  Kabinet Reformasi Pembangunan  Kabinet Persatuan Nasional  Kabinet Gotong Royong  Kabinet Indonesia Bersatu,,,
Mohammad Isnaeni,,,,"Mohammad Isnaeni, Dewan Perwakilan Rakyat Republik Indonesia Periode 1971 - 1977, p14.jpg",,,Soekarno Soeharto,Wakil Ketua Dewan Perwakilan Rakyat/Majelis Permusyawaratan RakyatBidang Industri dan Pembangunan (1971—77)Bidang Kesejahteraan Rakyat (1977—82),17 Mei 1966,28 Januari 1982,,,,,,,,,,,,,,,,Anggota Dewan Perwakilan RakyatRepublik Indonesia,1966,30 Januari 1982,,,,,Sriyati Slamet,,,,,,,,,,,,,,,,,,,,,,1919 4 19,"Sawoo, Ponorogo, Hindia Belanda",2002 10 27 1919 4 19,Jakarta,Indonesia,,,PNI (sampai 1973) PDI (sejak 1973),,,,,,,,,Politisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jawa Tengah(1971—77)DKI Jakarta(1977—82),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220px,,,,,,,,,,,,,,,,,,,,,,,,,Perolehan suara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achmad Sjaichu Idham Chalid Adam Malik Daryatmo,,,,,,,,Ketua MPR/DPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soegiarto (militer),,Soegiarto,,"Wali_Kota_Jogja,_Soegiarto.jpg",,,,,,,,,,,,,,,,,,,,,,Wali Kota Yogyakarta,1981,1986,,,H. Ahmad,Hamengkubuwana IX,Djatmikanto Danumartono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indonesia,,25px Mayor Jenderal TNI,25px TNI Angkatan Darat,Infanteri (Kopassandha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soegiarto saat menjabat Wali kota Yogyakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamengkubuwana IX,,Hamengkubuwana IX,,Hamengkubawono IX Official Portrait.jpg,,ke-9,,Sultan Yogyakarta,18 Maret 1940,2 Oktober 1988,,,Hamengkubuwana VIII,,Hamengkubuwana X,,,,,,,,,,,,,,,,,,,,,,,,,,,ke-2,Wakil Presiden Indonesia,23 Maret 1973,23 Maret 1978,,,Mohammad Hatta,Soeharto,,Adam Malik,,,,1912 4 12,"Ngasem, Kesultanan Ngayogyakarta Hadiningrat, Keresidenan Yogyakarta, Hindia Belanda",1988 10 2 1912 4 12Sultan Wafat,"Washington, D.C., Amerika Serikat
yes  Astana Saptorenggo, Imogiri, Yogyakarta  Ngarsa Dalem Sampeyan Dalem Ingkang Sinuwun Kanjeng Sultan Hamengkubuwana Senapati-ing-Ngalaga 'Abdurrahman Sayyidin Panatagama Khalifatullah ingkang Jumeneng Kaping Sanga ing Ngayogyakarta Hadiningrat  Mataram  Sultan Hamengkubuwana VIII  Kanjeng Raden Ayu Adipati Anom Hamengkunegara (Raden Ajeng Kustilah)  Islam",,,,,,,,,,,,,,,1945–1953,25px|  Jenderal TNI (Tit.)https://anri.sikn.go.id/index.php/keputusan-presiden-republik-indonesia-serikat-nomor-14-tahun-1950-tentang-pemberian-pangkat-militair-titulair-jenderal-kepada-j-m-hamengku-buwono-ix Keputusan Presiden Republik Indonesia Serikat Nomor 14 Tahun 1950 Tentang Pemberian Pangkat Militair Titulair Jenderal kepada J.M. Hamengku Buwono IX 4 Januari 1950 2021-09-29 Sistem Informasi Kearsipan Nasional Arsip Nasional Republik Indonesia 2021-09-29 https://web.archive.org/web/20210929033603/https://anri.sikn.go.id/index.php/keputusan-presiden-republik-indonesia-serikat-nomor-14-tahun-1950-tentang-pemberian-pangkat-militair-titulair-jenderal-kepada-j-m-hamengku-buwono-ix no,25px|ki TNI Angkatan Darat,,Revolusi Nasional Indonesia Agresi Militer Belanda II Serangan Umum 1 Maret 1949 Peristiwa Kudeta Angkatan Perang Ratu Adil,,,,Sign HBIX.png,,,,,,,,,,,,ke-1,25 Juli 1966,15 Juli 1948,,,,Mulai bertakhta,"Daftar Menteri Koordinator Bidang Perekonomian IndonesiaMenteri Koordinator Ekonomi, Keuangan, dan Industri Indonesia",,,ke-1,,,,,Soekarno,,,,,,,,,,,,,,,,25 Juli 1966,,Jabatan dihapuskan,I Gusti Ketut Pudja,,,"Johannes Leimena, Adam Malik, Soeharto, Idham Chalid",,,,,,,,,,1967,18 Maret 1966,,,,4 Agustus 1949,,,,,,,31 Maret 1966,,,9 Agustus 1949,,,,,,Gusti Raden Mas Dorodjatun,"Tidak ada, jabatan baru",,,2 Oktober 1988,,,,,Soekarno,Ingkang Sinuwun Sri Sultan,Surono Reksodimedjo,,,,,,,ke-1,27 November 1974,Soekarno,,,jabatan dibentuk,,,,,,ke-5,Abdoel Halim,,,,,,"Potret resmi sebagai Wakil Presiden, 1973",,,,,,Syafruddin Prawiranegara,27 April 1951,,,,,,,,,Daftar Ketua Badan Pemeriksa Keuangan Republik IndonesiaKetua Badan Pemeriksa Keuangan Republik Indonesia,,1966,,,Amir SyarifudinMohammad Hatta(ad-interim),,,,,,,,,,,,Daftar Wakil Perdana Menteri IndonesiaWakil Perdana Menteri Indonesia,,14 Agustus 1961,,,"Tidak ada, jabatan baru",,,,M. Sarbini,1986,,Syafruddin Prawiranegara,,Paku Alam VIII,,,"Tidak ada, jabatan baru","Johannes Leimena, Adam Malik (a.i.), Idham Chalid, Roeslan Abdulgani",,,,Mohammad Natsir,,,Wilopo,,,,,,,,24 Februari 1966,,,,,ke-1,,ꦲꦩꦼꦁꦏꦸꦨꦸꦮꦤ꧇꧙꧇,,,,,Komite Olahraga Nasional Indonesia,,,,,,,,ke-6,,Menteri Pertahanan Indonesia,29 Maret 1973,,,,,4 Maret 1950,,,,Soeharto,,Raden Mas Sewaka,,,2 Juni 1953,,,,,Widjojo Nitisastro,,,,,,,,,,,25 Juli 1966,6 Juni 1950,,,Dadang Suprayogi,,,Soekarno,,,1964,Ketua Kwartir Nasional Gerakan Pramuka,Suwiryo,,,,,,,Paku Alam VIII,,Gubernur Daerah Istimewa Yogyakarta,Soebandrio(Wakil Perdana Menteri I),Masa jabatan (ad interim),,,,,,Abdul Hakim,Achmad Tahir,,,,,,3 April 1952,,6 September 1950,,Menteri Pariwisata Indonesia,,,,,,,,27 Maret 1966,,,,,
Muammar Khadafi#Jamahiriyah Arab Libya,Kolonel,Muammar Khadafiar معمر محمد أبو منيار القذافي,,Muammar al-Gaddafi at the AU summit.jpg,,,"Lihat daftar Abdul Ati al-Obeidi
Muhammad az-Zaruq Rajab
Mifta al-Usta Umar
Abdul Razzaq as-Sawsa
Muhammad al-Zanati
Miftah Muhammed K'eba
Imbarek Shamekh
Mohamed Abu al-Qasim al-Zwai",Pemimpin dan Penuntun Revolusi Libya,1 September 1969,"20 Oktober 2011Di artikel ini, tanggal kematian Khadafi (20 Oktober 2011) dianggap sebagai akhir kekuasaannya. Mungkin ada tanggal lain yang digunakan oleh sumber lain:
Pada tanggal 15 Juli 2011, dalam sebuah pertemuan di Istanbul, lebih dari 30 pemerintahan (termasuk Amerika Serikat) mencabut pengakuan terhadap pemerintahan Khadafi dan mengakui Dewan Transisi Nasional sebagai pemerintahan Libya yang sah.
Pada tanggal 23 Agustus 2011, selama Pertempuran Tripoli, Khadafi tidak lagi memiliki kendali politik dan militer atas Tripoli setelah pangkalannya jatuh ke tangan pemberontak.Staff (23 Agustus 2011). ""Libya Live Blog: Tuesday, 23 Agustus 2011 – 16:19"". Al Jazeera. Dijangkau 23 Agustus 2011.
Pada tanggal 25 Agustus 2011, Liga Arab menyatakan Dewan Transisi Nasional sebagai ""perwakilan sah negara Libya"".",,,Jabatan dibentuk,,Mustafa Abdul Jalil (Ketua Dewan Transisi Nasional),,,,,"Lihat daftar Jadallah Azzuz at-Talhi
Muhammad az-Zaruq Rajab
Jadallah Azzuz at-Talhi
Abuzed Omar Dorda
Abdul Majid al-Qa′ud
Muhammad Ahmad al-Mangoush
Imbarek Shamekh
Shukri Ghanem
Baghdadi Mahmudi",,,,,,Ketua Dewan Komando Revolusioner Libya,1 September 1969,2 Maret 1977,,,Idris (Raja),,Dirinya sendiri (Sekretaris Jenderal Muktamar Umum Rakyat),,,,,Mahmud Sulayman al-MaghribiAbdessalam JalloudAbdul Ati al-Obeidi,,,,,Sekretaris Jenderal Muktamar Umum Rakyat,2 Maret 1977,2 Maret 1979,,,Dirinya sendiri (Ketua Dewan Komando Revolusioner),,,Abdul Ati al-Obeidi,,,,7 Juni 1942,"Qasr Abu Hadi, Libya Italia",20 Oktober 2011(umur 69),"Surt, Libya",,,,Persatuan Sosialis Arab (1971–77)Independen (1977–2011),,Fatiha al-Nuri (1969–70)Safia el-Brasai (1970–2011),,,"Anak laki-laki Muhammad
Saif al-Islam
Al-Saadi
Mutassim
Hannibal
Saif al-Arab
Khamis
Milad (diadopsi)Anak perempuan Ayesha
Hanna (diadopsi)",,,Universitas LibyaAkademi Universitas Militer Benghazi,,Libya 1951 Kerajaan Libya (1961–69)Libya 1972 Republik Arab Libya (1969–77)Libya 1977 Jamahiriyah Arab Libya (1977–2011),1961–2011,Kolonel,Angkatan Darat Libya,,Kudeta Libya 1969Perang Libya-MesirKonflik Chad-LibyaPerang Uganda–TanzaniaPengeboman Libya oleh Amerika Serikat 1986Perang Saudara Libya,,,,Muammar al-Gaddafi Signature.svg,,,,,,,,,,,,,16 Januari 1970,,,,,,Perdana Menteri Libya,,,,,,,,,,,,,,,,,Agama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muammar Muhammad Abu Minyar al-Khadafi,Mahmud Sulayman al-Maghribi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muammar Khadafi saat tengah menghadiri pertemuan puncak Uni Afrika ke-12 di Addis Ababa pada tanggal 2 Februari 2009,,,Islam Sunni,Angkatan Bersenjata Libya,,,31 Januari 2010,,,,,,,,,,,,,,,,,,,,,,,,,,Ketua Uni Afrika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 Juli 1972,,,,,,,,,,,,Abdul Ati al-Obeidi,,,,,,,Abdessalam Jalloud,,,,,,,,,,,,,,,,,,,,,,,Bingu wa Mutharika,,,,,,,,,,,,,,,,,Jakaya Kikwete,,,,,,,,,2 Februari 2009,,,,,,,,,,,,,,,
Adhyatma,,Adhyatma,,Adhyatma - Fifth Development Cabinet.jpg,,ke-11,Soeharto,Menteri Kesehatan Indonesia,23 Maret 1988,11 Maret 1993,,,Suwardjono Surjaningrat,,Sujudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 Mei 1932,"Semarang, Jawa Tengah, Hindia Belanda",2 Desember 1999 (umur 67),"Jakarta, Indonesia",Indonesia,,,,,Siti Fatimah,,,3,,,Universitas Indonesia University of Berkeley,Dokter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makmun Murod,,Makmun Murod,,Jenderal_TNI_Makmun_Murod.png,,ke-11,Soeharto,Kepala Staf TNI Angkatan Darat,10 Mei 1974,26 Januari 1978,,,Surono Reksodimejo,,R. Widodo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1924 12 24,"Baturaja, Sumatera Selatan, Hindia Belanda",2011 9 13 1924 12 24,"Jakarta, Indonesia",Indonesia,,,Independen,,,,,,,,Akademi militer (1945),Tentara,Indonesia,1945-1978,25px Jenderal TNI,25px TNI Angkatan Darat,Infanteri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200px,,,,,,,,,,,,,,11685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endang Agustini Syarwan,,,,,,,Susilo Bambang Yudhoyono,Anggota DPR RI Fraksi Partai Golkar,1 Oktober 2009,1 Oktober 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949 8 17,"Tajinan, Malang",,,Indonesia,,,Golkar,,Syarwan Hamid,,,,,,,Politisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
