article_title,honorific-prefix,name,honorific-suffix,image,smallimage,order,president,office,term_start,term_end,lieutenant,succeeding,predecessor,governor,successor,vicepresident,viceprimeminister,deputy,monarch,primeminister,taoiseach,chancellor,governor-general,order1,president1,office1,term_start1,term_end1,lieutenant1,succeeding1,predecessor1,governor1,successor1,vicepresident1,viceprimeminister1,deputy1,monarch1,primeminister1,taoiseach1,chancellor1,governor-general1,order2,office2,term_start2,term_end2,lieutenant2,succeeding2,predecessor2,president2,governor2,successor2,vicepresident2,viceprimeminister2,birthname,birth_date,birth_place,death_date,death_place,nationality,restingplace,restingplacecoordinates,party,otherparty,spouse,partner,relatives,children,parents,residence,alma_mater,occupation,allegiance,serviceyears,rank,branch,unit,battles,awards,laterwork,profession,signature,website,facebook,facebookpage,twitter,premier2,4namedata7,currentlyresides,honorific prefix,othername,relations,signature_size,order8,term_start3,term_start11,vicepresident6,primeminister6,predecessor7,term_label,office3,1namedata1,constituency1,order9,image_upright,networth,1blankname8,2,president11,2blankname7,body_discovered,military_data2,co-leader1,governor5,monuments,influences,criminal_charge,blank1,vicepresident5,education,Alma_mater,deathplace,parliamentarygroup,office5,term_end15,source,successor6,predecessor14,office6,military_blank4,alongside6,majority,constituency_MP4,notable,1blankname4,relation,alongside,vicepresident4,military_blank5,imagesi♫ze,term_start10,term_start5,placeofburial,filmfareawards,successor7,term_end11,1namedata7,termstart1,committees,portrayedby,imagesize,majority2,term_start6,module4,blank4,term_start12,resting_place_coordinates,termend1,constituency6,1,appointer2,birth_name,predecessor3,appointer,servicenumber,term_end8,order12,data5,monarch2,Commander4,president15,honorific_prefix,successor10,location,parliament3,1blankname1,deputy2,Term_start5,branch_label,order3,term_end9,president4,co-leader2,president8,predecessor15,Primeminister5,majority1,military_data1,parliamentarygroup1,parliament4,order4,successor12,succeeding4,native_name_lang,military_data3,president7,smallimage_alt,caption,predecessor6,alt,data1,commands,order5,successor11,term_end4,data4,3namedata7,1blankname6,governor3,year,alongside3,appointed,1blankname2,office14,4blankname7,term_end14,influenced,office12,predecessor11,profesion,military_data5,mother,mawards,1namedata6,battles_label,military_data4,years_active,office7,president6,constituency7,office4,date,term_start9,ambassador_from,command,predecessor9,parliamentarygroup2,2namedata7,1namedata5,successor9,term_end10,1namedata3,predecessor12,father,lieutenant8,1namedata2,prior_term,predecessor10,alongside5,term_start7,constituency8,term_end7,primeminister4,ethnicity,lieutenant3,successor13,military_blank2,family,majority3,deputy3,president9,data3,predecessor8,term_start15,deathdate,president5,death_cause,co-leader,order10,President5,native_name,religion,height,placeofburial_label,Succeeding5,office10,module2,1namedata8,citizenship,primeminister3,serviceyears_label,other_name,1blankname3,order14,president12,office11,term_end3,net_worth,governor_general,suboffice,constituency4,term_start8,resting_place,memorials,military_blank1,president3,salary,predecessor13,primeminister2,other_names,term_end13,honorific_suffix,nickname,constituency2,1namedata,successor3,blank3,criminal_penalty,3blankname7,subterm,1blankname7,placeofburial_coordinates,1blankname,blank5,constituency,constituency3,term_end6,term_end12,termstart3,module3,successor14,enteredservice,order7,primeminister5,order6,termstart2,term_start14,office9,successor4,vicepresident3,portfolio,constituency_MP3,image_size,module5,honorific suffix,successor8,lieutenant4,office8,predecessor5,term_label5,termend3,module,country,termend2,blank2,predecessor4,successor15,1blankname5,yearsactive,pronunciation,signature_alt,1namedata4,term_start13,state,term_start4,data2,office15,footnotes,rank_label,known_for,successor5,alongside2,succeeding5,succeeding3,term_end5,status,cabinet,Cicit,alongside4,military_blank3,summary,wikiurl,birth_date_cleaned,death_date_cleaned
Soebekti,,Soebekti,,R. Subekti.png,,ke-4,,Ketua Mahkamah Agung Republik Indonesia,Agustus 1968,Januari 1974,,,Soerjadi,,Oemar Seno Adji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 Mei 1914,"Surakarta, Hindia Belanda",9 Desember 1992,"Bandung, Indonesia",,,,,,,,,,,,,hakim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soeharto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potret Soebekti sebagai Ketua Mahkamah Agung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R. Soebekti, S.H. (14 Mei 1914 – 9 Desember 1992) adalah Ketua Mahkamah Agung Republik Indonesia periode 1968 hingga tahun 1974.Sebelum menjabat sebagai Ketua Mahkamah Agung, ia pernah menjabat Hakim Pengadilan Negeri Semarang (1942), Ketua Pengadilan Negeri Purworejo (1944), Panitera Mahkamah Agung R.I. (1946), Hakim Anggota pada Pengadilan Tinggi Makasar (1952), Ketua Pengadilan Tinggi Jakarta (1955), dan sebagai Hakim Agung pada Mahkamah Agung R.I. (1958). Selain itu, bersama dengan R. Tjitrosoediro menerjemahkan Burgelijke Wetboek (terkenal dengan singkatan BW) menjadi Kitab Undang-Undang Hukum Perdata atau KUH Perdata. Ia juga menerjemahkan KUH Dagang, UU Kepailitan, dan Kamus Hukum.",https://id.wikipedia.org/wiki/Soebekti,14-Mei-1914,09-Desember-1992
Achmad Wiranatakusumah,Letnan Jenderal TNI (Purn.),Achmad Wiranatakusumah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925 10 11,"Bandung, Hindia Belanda",1999 9 27 1925 10 11,Jakarta,,,,,,,,,1. Siti Fatimah Ratnasangkara Wiranatakusumah2. Antar Yuma Tulisa Wiranatakusumah3. Roxanne Siti Aminah Kurniati Wiranatakusumah4. Attila Nuh Achmad Nasran Wiranatakusumah5. Marsdya TNI (Purn.) Kisenda Wiranata6. Achmad Ingemar Laguna7. Kisano Alam Wiranatakusumah,,,,,Indonesia,1945–1980,25px Letnan Jenderal TNI,25px TNI Angkatan Darat,Infanteri (RPKAD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peluncuran Buku ""Komandan Siluman Merah""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letnan Jenderal TNI (Purn.) Raden Achmad Wiranatakusumah (11 Oktober 1925 – 27 September 1999) adalah seorang Purnawirawan perwira tinggi TNI Angkatan Darat dengan jabatan terakhir Sekretaris Jenderal Dewan Ketahanan Nasional. Ia terkenal saat menjabat Komandan Batalyon 26 Brigade Guntur II yang populer dijuluki Batalyon Siluman Merah.,https://id.wikipedia.org/wiki/Achmad_Wiranatakusumah,1925-10-11,1999-09-27
Kahar Muzakir,Drs. H.,,,File:Anggota DPR Kahar Muzakir.jpg,,,,Anggota Dewan Perwakilan Rakyat Republik Indonesia,1 Oktober 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946 12 10,"Pengaturan, Batanghari Leko, Musi Banyuasin, Sumatra, Indonesia",,,Indonesia,,,Partai Golongan Karya,,Suci Rohani,,,"4, termasuk Agung Firman Sampurna  Wahyu Sanjaya  Dewi Yustisiana",,,IKIP Yogyakarta,Politikus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sumatera Selatan I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kahar Muzakir (lahir 10 Desember 1946) adalah politikus Indonesia yang menjabat anggota DPR RI dari Fraksi Partai Golkar selama lima periode: 2004–2009, 2009–2014, 2014–2019, 2019–2024, dan 2024–2029.",https://id.wikipedia.org/wiki/Kahar_Muzakir,1946-12-10,
Satrio Budihardjo Joedono,,,,Sixth Development Cabinet Poster (Satrio Budihardjo Joedono).jpg,,Ke-23,Soeharto,Menteri Perdagangan Indonesia,17 Maret 1993,6 Desember 1995,,,Arifin Siregar,,Tungki Ariwibowo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932 12 1,"Pangkalpinang, Bangka, Hindia Belanda",2017 4 16 1932 12 1,"Jakarta, Indonesia",Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Satrio ""Billy"" Budihardjo Joedono (1 Desember 1932 – 16 April 2017) adalah seorang ekonom Indonesia dan anggota Dewan Pembina, The Habibie Center. Ia menamatkan pendidikan tingkat atas di Kolese Kanisius.",https://id.wikipedia.org/wiki/Satrio_Budihardjo_Joedono,1932-12-01,2017-04-16
Agus Hermanto,,Agus Hermanto,,Agus Hermanto.jpg,,,Susilo Bambang Yudhoyono  Joko Widodo,Wakil Ketua Dewan Perwakilan Rakyat   Bidang Industri dan Pembangunan,1 Oktober 2014,30 September 2019,,,Pramono Anung,,Rachmad Gobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956 5 20 yes,"Semarang, Jawa Tengah, Indonesia",,,,,,Demokrat,,Istha Saraswati,,,,,,Universitas Brawijaya,Politisi Wirausahawan Akademisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potret resmi sebagai Wakil Ketua Dewan Perwakilan Rakyat Republik Indonesia periode 2014–2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Setya NovantoAde KomarudinSetya NovantoBambang Soesatyo,,,,,,,,Ketua DPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prof. Dr. Ir. H. Agus Hermanto, MM. (lahir 20 Mei 1956) adalah Wakil Ketua sekaligus anggota DPR RI periode 2014 - 2019. Ia juga adalah wakil ketua komisi VI DPR RI periode 2004-2009 dari Partai Demokrat mewakili Jawa Tengah. Agus Hermanto adalah alumni Universitas Brawijaya dan merupakan Ketua Komisi X yang menangani Pendidikan, Olahraga, Pariwisata, Kesenian dan Kebudayaan pada periode 2009-2014..",https://id.wikipedia.org/wiki/Agus_Hermanto,1956-05-20,
Mas Tirtodarmo Haryono,,,,MT Haryono.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 Januari 1924,"Surabaya, Hindia Belanda",1 Oktober 1965 (umur 41),"Lubang Buaya, Jakarta, Indonesia",,,,,,,,,,,,,Tentara,Indonesia,1945—1965,25px|  Letnan Jenderal TNI (Anumerta),25px TNI Angkatan Darat,,,10px Pahlawan Revolusi - KPLB Anumerta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mas Tirtodarmo Harjono,,,14796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gugur pada peristiwa G30S PKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pangkat terakhirnya adalah Mayor Jenderal TNI, tetapi karena gugur dalam tugas, maka diberikan Kenaikan Pangkat Luar Biasa (KPLB) menjadi Letjen. TNI (Anumerta).",,,,,,,,,,,,,Letnan Jenderal TNI (Anumerta) Mas Tirtodarmo Haryono (Hanacaraka: ꦩꦱ꧀‌ꦠꦶꦂꦠꦣꦂꦩꦲꦂꦪꦤ) (20 Januari 1924 – 1 Oktober 1965) adalah salah satu pahlawan revolusi Indonesia yang terbunuh pada peristiwa G30SPKI. Ia dimakamkan di TMP Kalibata - Jakarta.,https://id.wikipedia.org/wiki/Mas_Tirtodarmo_Haryono,20-Januari-1924,01-Oktober-1965
Hartini,,Hartini,,Suhartini Suara Merdeka 20 Sep 1950 p2.jpg,,,,Ibu Negara Indonesia (tidak resmi),7 Juli 1953,12 Maret 1967,,,Fatmawati (menjabat sejak 18 Agustus 1945),,Siti Hartinah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 September 1924,"Pudak, Ponorogo, Hindia Belanda",2002 03 12 1924 9 20,"Jakarta, Indonesia",,,,,,Dr. Soewondo (?–1952)Ir. Soekarno (1953–1970),,,"dari Soewondo Siti Suwandari
 Herwindo
 Tri Harwanto
 Sri Wulandari 
 Riswulan  dari Soekarno Taufan Soekarnoputra
 Bayu Soekarnoputra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hartini, 1954",,,,,,,,,,,,,,,,,,,,,,,,Mairah,,,,,,,,,,,,,,,,,,,,,,Osan Murawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siti Suhartini atau lebih dikenal dengan nama Hartini Soekarno (20 September 1924 – 12 Maret 2002) adalah istri keempat Presiden RI Soekarno.,https://id.wikipedia.org/wiki/Hartini,20-September-1924,2002-03-12
Yogie Suardi Memet,,Yogie Suardi Memet,,Sixth Development Cabinet Poster (Yogie Suardi Memet).jpg,,,,Anggota Dewan Pertimbangan Agung,1998,31 Juli 2003,,,,,,,,,,,,,,ke-20,Soeharto,Menteri Dalam Negeri Indonesia,17 Maret 1993,17 Maret 1998,,,Rudini,,Hartono,,,,,,,,,ke-10,Gubernur Jawa Barat,22 Mei 1985,17 Maret 1993,,,Aang Kunaefi,,,Nana Nuriana,,,,1929 5 16,"Cirebon, Jawa Barat, Hindia Belanda",2007 6 7 1929 5 16,"Bandung, Jawa Barat, Indonesia",,,,Golongan Karya (1993-2007),,Emmy Sariamahhttps://majalah.tempo.co/amp/pokok-dan-tokoh/38934/dilantik  Dilantik  Tempo.co  25 Mei 1985 6 Januari 2023   id,,,2,,,Akademi Militer Nasional,Tentara birokrat politisi,Indonesia,1945–1983,25px Letnan Jenderal TNI,25px TNI Angkatan Darat,Infanteri (Kopassandha),Operasi Seroja,,,,,,,,,,,,,,Lily Sumantri (besan),,,April 1978,,,,,,Daftar Panglima Komando Daerah Militer III/SiliwangiPanglima Komando Daerah Militer VI/Siliwangi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Himawan Soetanto,,17668,,,,,,,,,,,,Suryatna Subrata (1985–1992)Karna Suwanda (1985–1994)Achmad Sampurna (1992–1998)Ukman Sutaryan (1992–1998),,,ke-15,,,,,,,,,,,ke-15,,,su,,,,,,,,,,,April 1978,,,,,,,,,,,,,,,,,,,,,,,,,,Komandan Jenderal Komando Pasukan KhususKomandan Jenderal Komando Pasukan Sandi Yudha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gagal ginjal kronis,,,,,,,,,,,,,,,,,,,,1983,,,,,,,,,,,,,,,ᮚᮧᮌᮤᮈ ᮞᮥᮃᮁᮓᮤ ᮙᮨᮙᮨᮒ᮪,,,Arnold Achmad Baramuli Achmad Tirtosudiro,Edi Sudradjat,,,,,,,Ketua,,,,,,,,,,,,,,,,Wismoyo Arismunandar,,,,,,,,,,,,,,,,,Witarmin,,,,,,,,,Mei 1975,,,,,,,,,,,,,,,,"Letnan Jenderal TNI (Purn) Raden H. Mohammad Yogie Suardi Memet (16 Mei 1929 – 7 Juni 2007) adalah seorang mantan perwira TNI Angkatan Darat yang menjadi birokrat dan politikus. Kiprahnya di pemerintahan pertama kali ketika menjabat sebagai Gubernur Jawa Barat masa bakti 1985–1990 dan terpilih kembali untuk masa jabatan kedua sejak Mei 1990 dan diberhentikan pada 22 Mei 1993. Ketika menjabat, Yogie ditunjuk oleh Presiden Soeharto untuk menduduki posisi Menteri Dalam Negeri di kabinetnya.",https://id.wikipedia.org/wiki/Yogie_Suardi_Memet,1929-05-16,2007-06-07
Sabam Sirait,,Sabam Sirait,,File:Senator Sabam Sirait.jpg,,,,Anggota Dewan Perwakilan Daerahdari DKI Jakarta,15 Januari 2018,29 September 2021Pengganti Antar Waktu hingga 30 September 2019,,,Andi Mappetahang Fatwa,,Dailami Firdaus,,,,,,,,,,,Anggota Dewan Perwakilan Rakyat,1 Oktober 1999,30 September 2004,,,,,,,,,,,,,,,,1 Oktober 1992,30 September 1997,,,,,,,,,,1936 10 13,"Pulau Simardan, Asahan, Sumatera Timur, Hindia Belanda",2021 09 29 1936 10 13,"Tangerang, Banten, Indonesia",Indonesia,,,Partai Demokrasi Indonesia Perjuangan,Partai Kristen Indonesia PDI,"dr. Sondang br. Sidabutar, M.M. 1969",,,Maruarar Sirait Batara Imanuel Sirait Johan Bakti Porsea Sirait Mira Sirait,,,Universitas Indonesia,Politikus,,,,,,,,,,Signature of Sabam Sirait.svg,,,,,,,,,,Putra Nababan (menantu),,,1 Oktober 1977,,,,Christoffel Joseph Mooy,,,,DKI Jakarta,,,,,,,,,,,,,,,,,,,,,Anggota Dewan Pertimbangan Agung,,,Nico Daryanto,,Sekretaris Jenderal Partai Demokrasi Indonesia,,,,,,,,,,,,,3 Mei 1983,,,Jabatan dihapuskan,,Melanchton Siregar,,,,,,13 Januari 1973,,,,,,,,,Sabam Gunung Panangian Sirait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bbc,,,,,Jabatan dibentuk,,,,,,1 Oktober 1971,,,Ketua Umum,,,,,,,,,,,,,,,,Mohammad IsnaeniSanusi HardjadinataSunawar Sukowati,,,,Sekretaris Jenderal Partai Kristen Indonesia,,,,,,,,,,,,,,,,,,,,,,17 Oktober 1967,,11 Januari 1973,,,,,,,,,,,,,,Soeharto,,,,,ᯘᯅᯔ᯲ ᯘᯪᯒᯤᯖ᯲,,,,,,,,,,,,,,,,30 September 1982,,,,,,,,,,,,,,,,,Irian Jaya,,,,,,,Ketua Umum,,,,,Sumatera Utara,18 April 1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Februari 1967,,,,,pengabdian berkelanjutan dalam politik Indonesia selama lebih dari 60 tahun,,,,,1 Oktober 1992,,,,,,"Sabam Gunung Panangian Sirait, S.H. (13 Oktober 1936 – 29 September 2021) adalah politikus senior Indonesia. Ia menjabat Anggota Dewan Perwakilan Daerah Republik Indonesia (DPD RI) sejak 15 Januari 2018 menggantikan A.M. Fatwa yang wafat pada Desember 2017. Sabam merupakan ayah mantan Anggota Dewan Perwakilan Rakyat Republik Indonesia (DPR RI) Fraksi Partai Demokrasi Indonesia Perjuangan (PDI-P) Maruarar Sirait. Pada tanggal 1 Oktober 2019, Ia adalah pimpinan sementara MPR tertua untuk periode 2019–2024.",https://id.wikipedia.org/wiki/Sabam_Sirait,1936-10-13,2021-09-29
Slamet Iman Santoso,Prof. Dr. R.,Slamet Iman Santoso,,,,,,Pejabat Rektor Universitas Indonesia,1973,1974,,,Sumantri Brodjonegoro,,Mahar Mardjono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1907 9 7,"Wonosobo, Hindia Belanda",2004 11 9 1907 9 7 y,"Jakarta, Indonesia",Indonesia,,,,,,,,,,,School tot Opleiding van Indische ArtsenGeneeskunde School of Arts Batavia Sentrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof. Dr. R. Slamet Iman Santoso (7 September 1907 – 9 November 2004) adalah seorang pakar psikologi Indonesia. Ia memelopori berdirinya Fakultas Psikologi Universitas Indonesia dan menjabat sebagai dekan pertama fakultas tersebut.,https://id.wikipedia.org/wiki/Slamet_Iman_Santoso,1907-09-07,2004-11-09
Widjojo Nitisastro,Prof. Dr.,,,Widjojo Nitisastro (1977).jpg,,ke-2,Soeharto,"Menteri Koordinator Bidang Ekonomi, Keuangan, dan Industri Indonesia",29 Maret 1973,19 Maret 1983,,,Hamengkubuwono IX,,Ali Wardhana,,,,,,,,,ke-8,Soeharto,Kepala Badan Perencanaan Pembangunan Nasional,8 Juni 1967,19 Maret 1983,,,Ruslan Abdulgani,,J. B. Sumarlin,,,,,,,,,ke-4,Menteri Negara Perencanaan Pembangunan Nasional Indonesia,9 September 1971,28 Maret 1973,,,Ruslan Abdulgani,Soeharto,,J. B. Sumarlin,,,,1927 9 23,"Keresidenan Malang, Hindia Belanda",2012 3 9 1927 9 23,"Jakarta, Indonesia",,,,Golongan Karya,,Siti Sudarsih,,,2,,,Universitas IndonesiaUniversity of California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof. Dr. Widjojo Nitisastro (23 September 1927 – 9 Maret 2012) adalah politisi Indonesia yang dikenal sebagai arsitek utama perekonomian Orde Baru. Ia sempat menjabat sebagai Menteri Negara Perencanaan Pembangunan Nasional pada 1971 hingga 1973 dan Menko Ekuin sekaligus Kepala Bappenas pada periode 1973–1978 dan 1978–1983.,https://id.wikipedia.org/wiki/Widjojo_Nitisastro,1927-09-23,2012-03-09
Xanana Gusmão,,Xanana Gusmão,GColIH GCL GCMG,PM Kishida meeting with PM Gusmão of Timor-Leste (cropped).jpg,,ke-6 dan ke-9,José Ramos-Horta,Perdana Menteri Timor Leste,1 Juli 2023,,,,Taur Matan Ruak,,,,,Francisco Kalbuadi Lay Mariano Sabino Lopes,,,,,,,,,,,,,,,,,,,,,,,,,,8 Agustus 2007,16 Februari 2015,,,Estanislau da Silva,José Ramos-Horta Taur Matan Ruak,,Rui Maria de Araújo,,,,1946 6 20,"Laleia, Manatuto, Timor Portugis",,,,,,Fretilin (1975—1987) Kongres Nasional Rekonstruksi Timor (2007—),,"Emilia Batista 1965 1999 meninggal
Kirsty Sword 2000 2015 pisah",,,Eugenio Gusmão Zenilda Gusmão Alexandre Gusmão Kay Olok Gusmão Daniel Gusmão,,"New South Wales, Australia",,,Timor Leste,1975—1992,,,,Pendudukan Indonesia di Timor Timur,,,,Xanana Gusmão signature.svg,,,,,,,,,,,,,20 Mei 2002,,,,,,Presiden Timor Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,José Alexandre Gusmão,Sérgio Vieira de Mello,,,,,,,,,,,,,,,,,ke-3,,,,,,,,,,,ke-4,,,,,,,Gusmão pada Desember 2023,,,,30px Falintil,,,20 November 1992,,,,,,,,,,,,,,,,,,,,,,,,,,Panglima Angkatan Bersenjata Timor LestePanglima Falintil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mari Alkatiri José Ramos-Horta Estanislau da Silva,,,,,,,20 Mei 2007,,,,,,,,,,,,,,,,,,,José Ramos-Horta,,,,,,,,,,,,,,,,,,,,,,,Ma'huno Bulerek Karathayano,,,,,,,,,,,,,,,,,Nicolau dos Reis Lobato,,,,,,,,,Maret 1981,,,,,,,,,,,,,,,,"José Alexandre ""Xanana"" Gusmão  (pengucapan bahasa Portugis: [ʒuˈzɛ ɐlɨˈʃɐ̃dɾɨ ʃɐˈnɐnɐ ɣuʒˈmɐ̃w]; lahir 20 Juni 1946) adalah seorang politikus Timor Leste. Ia menjabat sebagai Perdana Menteri Timor Leste ke-6 sejak tahun 2023, sebelumnya menjabat pada posisi tersebut dari tahun 2007 hingga 2015. Seorang mantan pemberontak, ia juga menjabat sebagai presiden pertama di Timor Leste sejak kemerdekaannya, dari tahun 2002 hingga 2007.",https://id.wikipedia.org/wiki/Xanana_Gusm%C3%A3o,1946-06-20,
