title,jenis_infobox,infobox
Kerusuhan Situbondo,,
Garuda Indonesia Penerbangan 152,,
Witarmin,infobox officeholder,"{{Infobox Officeholder
| honorific-prefix    = <small>[[Letnan Jenderal]] [[TNI]] (Purn.)</small>
| name                = {{PAGENAME}}
| image               = Witarmin.jpg
| imagesize           = 
| caption             = 
| office              = Komandan Jenderal Komando Pasukan Khusus
| birth_date          = {{birth date|1925|2|2}}
| birth_place         = [[Berkas:Flag of the Netherlands.svg|tepi|link=Hindia Belanda|22px]] [[Kertosono]], [[Nganjuk]], [[Jawa Timur]], Indonesia
| death_date          = {{death date and age|1983|7|5|1925|2|2}}
| death_place         = [[Surabaya]], [[Jawa Timur]], Indonesia
| allegiance          = {{flag|Indonesia}}
| serviceyears        = 1942 - 1983
| rank                = [[Berkas:Pdu_letjendtni_komando.png|25px]] [[Letnan Jenderal]] [[TNI]]
| branch              = [[Berkas:Insignia of the Indonesian Army.svg|25px]] [[TNI Angkatan Darat]]
| unit                = [[Infanteri]] ([[Kopassandha]])
| awards              = 
| party               = 
| spouse              = Ny. Suratmi
| children            = 1. Nunuk Indrinuswati<br />2. Wiwiek Dwi Judajati<br />3. Anik Umi Heriyani<br />4. Sudiono
| residence           = 
| alma_mater          = 
| occupation          = 
| religion            = 
| order               = ke-7
| term_start          = 1970
| term_end            = 1975
| predecessor         = Brigjen TNI [[Widjoyo Suyono]]
| successor           = Brigjen TNI [[Yogie Suardi Memet]]
}}"
Japto Soerjosoemarno,infobox person,"{{Infobox Person
| name               = Japto Soerjosoemarno
| image              = 
| caption            = 
| birth_date         = 16 Desember 1949{{br}}(Umur 73)
| birth_place        = [[Surakarta]], [[Jawa Barat]], [[Indonesia]]
| nationality        = 
| occupation         = [[Pemuda Pancasila]], [[Politisi]]
| years_active       = 1968–Sekarang
}}"
Gerakan 30 September,infobox military conflict,"{{Infobox military conflict|conflict=Gerakan 30 September|partof=|image=potret gestapu.jpg|image_size=250px|caption=Proses pengangkatan 7 jenazah korban G30S dari sebuah sumur lama di kawasan [[Lubang Buaya]] pada tanggal 3 Oktober 1965|date=30 September malam - 1 Oktober menjelang pagi|place=Kelurahan [[Lubang Buaya|Lubang Buaya, Cipayung, Jakarta Timur]]|territory=|result=|combatant1=|combatant2=|commander1=|commander2=|units1=|units2=|strength1=|strength2=|casualties1=1. [[Ahmad Yani|Letnan Jenderal TNI Ahmad Yani]] (43 tahun) <br/> 2. [[R. Soeprapto (pahlawan revolusi)|Mayor Jenderal TNI Raden Soeprapto]] (45 tahun) <br/> 3. [[Mas Tirtodarmo Haryono|Mayor Jenderal TNI Mas Tirtodarmo Haryono]] (41 tahun) <br/> 4. [[Siswondo Parman|Mayor Jenderal TNI Siswondo Parman]] (47 tahun) <br/> 5. [[D.I. Pandjaitan|Brigadir Jenderal TNI Donald Isaac Panjaitan]] (40 tahun) <br/> 6. [[Sutoyo Siswomiharjo|Brigadir Jenderal TNI Sutoyo Siswomiharjo]] (43 tahun) <br/> 7. [[Pierre Tendean|Letnan Satu Pierre Andreas Tendean]] (26 tahun) <br/> dan korban-korban lainnya.|casualties2=|casualties3=|notes=}}"
Indonesia dalam tahun 1966,,
Puteri Indonesia 1994,,
Bustanil Arifin,infobox officeholder,"{{Infobox Officeholder
|honorific-prefix = 
|name = Bustanil Arifin
|image = Bustanil Arifin - Fourth Development Cabinet.jpg
|imagesize = 
|caption = 
|president= [[Soeharto]]
|office = Menteri Koperasi Indonesia
|order = ke-2
|term_start = 22 April 1978
|term_end = 17 Maret 1993
|predecessor = [[Subroto]]
|successor = [[Subiakto Tjakrawerdaya]]
|office2 = Kepala Badan Urusan Logistik
|order2 = ke-1
|term_start2 = 29 Maret 1978
|term_end2 = 17 Maret 1993
|predecessor2 = ''Tidak ada''
|successor2 = [[Ibrahim Hassan]]
|birth_date = {{birth date|1925|10|10}}
|birth_place = {{flagicon|Hindia Belanda}} [[Kota Padangpanjang|Padangpanjang]], [[Sumatera Barat]], [[Hindia Belanda]]
|death_date = {{death date and age|2011|2|13|1925|10|10}}
|death_place = {{flagicon|Amerika Serikat}} [[Los Angeles]], [[Amerika Serikat]]
|party = 
|spouse = 
|children = [[Yani Arifin]]<br>[[Alex Arifin]]<br>[[Alwin Arifin]]<br>[[Emil Arifin]]
|residence = 
|alma_mater = [[Universitas Padjajaran]]
|occupation = Militer, Politisi
|religion = [[Islam]]
|allegiance         = {{flag|Indonesia}}
|serviceyears       = 
|rank               = [[Berkas:Pdu_letjendtni_staf.png|25px]] [[Letnan Jenderal]] [[TNI]]
|branch             = [[Berkas:Insignia of the Indonesian Army.svg|25px]] [[TNI Angkatan Darat]]
|unit               =
|servicenumber = 15046<ref name=""utama""/>
}}"
Kerusuhan Poso,infobox military conflict,"{{Infobox military conflict
| title            = Kerusuhan Poso
| partof           = [[Konflik Poso]]
| image            = [[Berkas:Fronts of Poso riots (colored with text).svg|360px]]
| caption          = Front pertempuran dalam kerusuhan Poso III.
| date             = {{Start date|1998|12|25}} – {{End date|2001|12|20}}
| place            = [[Kabupaten Poso]]
| coordinates      = 
| causes           = Penyerangan pemuda Muslim oleh pemuda Kristen yang mabuk di Masjid [[Sayo, Poso Kota Selatan, Poso|Sayo]]
| result           = 
* [[Deklarasi Malino]]
* [[Kekerasan pasca kerusuhan di Poso]]
| combatant1       = {{plainlist |
* '''Pemerintah Pusat'''
* [[TNI]]
* [[POLRI]]
----
* '''Pemerintah Provinsi'''
* [[Kodam Wirabuana]]
* [[Korem 132|Korem 132 Tadulako]]
* [[Polda Sulteng|Polda Sulawesi Tengah]]
----
* '''Pemerintah Kabupaten'''
* [[Batalyon Infanteri 711]]
* [[Polres Poso]]
}}
| combatant2       = {{plainlist |
* '''Milisi Islam'''
----
* [[Jemaah Islamiyah]]
* [[Mujahidin KOMPAK]]
* [[Laskar Jihad]]
}}
| combatant3       = {{plainlist|'''Milisi Kristen'''
----
*Kelelawar Hitam
*Brigade Manguni
*Laskar Kristus
}}
| commander1       = {{plainlist |
* '''Pemerintah Pusat'''
* [[Abdurrahman Wahid]]
* [[Susilo Bambang Yudhoyono]]
* [[Jusuf Kalla]]
----
* '''Pemerintah Provinsi'''
* [[Bandjela Paliudju]]
* [[Aminuddin Ponulele]]
* [[Slamet Kirbiantoro]]
* [[Zainal Abidin Ishak]]
----
* '''Pemerintah Kabupaten'''
* [[Arief Patanga]]
* [[Muin Pusadan]]
* [[Deddy Woeryantono]]
* [[Djasman Baso Opu]]
}}
| commander2       = '''Milisi Islam lokal:''' <br />(''tidak memiliki struktur kepemimpinan yang terpusat'')
----
{{plainlist|
'''Tokoh agama'''
* [[Adnan Arsal]]
}}
| commander3       = '''Milisi Kristen lokal:''' <br />(''tidak memiliki struktur kepemimpinan yang terpusat'')
----
{{plainlist|
'''Tokoh kunci'''
*[[Fabianus Tibo]]
*[[Marinus Riwu]]
*[[Dominggus da Silva]]
}}
----
{{plainlist|
'''Tokoh agama'''
* [[Rinaldy Damanik]]
}}
| strength1        = 
| strength2        = Tidak diketahui
| strength3        = {{flagicon image|Christian cross.svg}} 700 orang (2000)
| campaignbox      = {{Campaignbox Kerusuhan Poso}}
| notes            = <center>577 tewas, 384 terluka, 7.932 rumah hancur, serta 510 fasilitas umum terbakar atau rusak {{small|(versi pemerintah)}}</center>
}}"
Puteri Indonesia 1977,,
Pesta Olahraga Asia Tenggara 1997,infobox games,"{{Infobox games 
| Name                   = Pesta Olahraga Asia Tenggara 1997
| Other name             = SEA Games XIX
| Logo                   = Seagames1997.png
| Optional caption       =  
| Host city              = [[Daerah Khusus Ibukota Jakarta|Jakarta]]
| Country = {{INA}}
| Nations participating  = 10 
| Athletes participating = 6007 (termasuk ofisial)
| Events                 = 440 dari 34 cabang olahraga
| Opening ceremony       = [[11 Oktober]] [[1997]] 
| Closing ceremony       = [[19 Oktober]] [[1997]] 
| Officially opened by   = [[Soeharto]]{{br}}<small>[[Presiden Republik Indonesia]]</small>
| Officially closed by   = [[Soeharto]]{{br}}<small>[[Presiden Republik Indonesia]]</small>
| Athlete's Oath         =  
| Judge's Oath           = 
| Torch lighter          = 
| Stadium                = [[Stadion Gelora Bung Karno|Stadion Senayan]]
| Website                = [https://web.archive.org/web/19980111004346/http://seagames.wasantara.net.id/ Pesta Olahraga Asia Tenggara 1997]
| previous = [[Pesta Olahraga Asia Tenggara 1995|Chiangmai 1995]]
| next = [[Pesta Olahraga Asia Tenggara 1999|Bandar Seri Begawan 1999]]
}}"
Peristiwa 27 Juli,infobox civil conflict,"{{Infobox Civil Conflict|title=Peristiwa 27 Juli|side3=|casualties_label=|casualties3=|casualties2=|casualties1=5 orang tewas, 149 orang terluka, 23 orang hilang|howmany3=|howmany2=|howmany1=|leadfigures3=|leadfigures2=|leadfigures1=|side2=Pemerintah [[Orde Baru]], [[Pemuda Pancasila]], [[Tentara Nasional Indonesia Angkatan Darat]]|partof=[[Kejatuhan Soeharto]]|side1=Pendukung [[Megawati Soekarnoputri]]|methods=[[Unjuk rasa|Demonstrasi mahasiswa]], [[kerusuhan]]|result=|goals=|status=|causes=Upaya yang disponsori pemerintah untuk menggulingkan Megawati dari kantor pusat [[Partai Demokrasi Indonesia]]|coordinates=|place=[[Jakarta]], [[Indonesia]]|date=27 – 29 Juli 1996|caption=Penyerangan kantor PDI di Jalan Diponegoro oleh pendukung kubu Soerjadi berakhir dengan bentrokan antara massa dan aparat keamanan di kawasan Jalan Salemba, Jakarta Pusat, 27 Juli 1996.|image=File:27 July 1996 incident.jpg|notes=}}"
Leonardus Benyamin Moerdani,infobox officeholder,"{{Infobox Officeholder
| honorific-prefix    = 
| name                = {{PAGENAME}}
| image               = Leonardus Benjamin Moerdani as Commander of the Indonesian National Armed Forces.jpg
| imagesize           = 
| caption             = Foto Resmi Benyamin Moerdani, 1985
| office              = Daftar Menteri Pertahanan Indonesia{{!}}Menteri Pertahanan dan Keamanan
| order               = ke-17
| term_start          = 21 Maret 1988
| term_end            = 17 Maret 1993
| president           = [[Soeharto]]
| predecessor         = [[Poniman]]|
| successor           = [[Edi Sudradjat]]
| office3             = Panglima Tentara Nasional Indonesia{{!}}Panglima Angkatan Bersenjata Republik Indonesia
| order3              = ke-8
| term_start3         = 28 Maret 1983
| term_end3           = 27 Februari 1988
| predecessor3        = [[M. Jusuf]]
| successor3          = [[Try Sutrisno]]
| office2             = Komando Operasi Pemulihan Keamanan dan Ketertiban{{!}}Panglima Komando Operasi Pemulihan Keamanan dan Ketertiban
| order2              = ke-6
| term_start2         = 29 Maret 1983
| term_end2           = 5 September 1988
| predecessor2        = [[Soedomo]]
| successor2          = ''Tidak ada, jabatan dihapuskan''
| birth_date          = {{birth date|1932|10|2}}
| birth_place         = [[Cepu, Blora|Cepu]], [[Blora]], [[Jawa Tengah]], [[Hindia Belanda]]
| death_date          = {{death date and age|2004|8|29|1932|10|2}}
| death_place         = [[Jakarta]], [[Indonesia]]
| party               = 
| spouse              = Hartini Moerdani
| father              = R.G. Moerdani Sosrodirjo
| mother              = Jeanne Roech
| children            = Irene Ria Moerdani
| residence           = 
| alma_mater          = 
| occupation          = 
| allegiance          = {{Flag|Indonesia}}
| serviceyears        = 1952–1988
| rank                = [[File:22-TNI Army-GEN.svg|25px| ]] [[Jenderal]] [[TNI]]
| branch              = [[Berkas:Insignia of the Indonesian Army.svg|25px]] [[TNI Angkatan Darat]]
| servicenumber       = 289461{{sfn|Lembaga Pemilihan Umum|1988|p=753}}
| commands            = 
| unit                = [[Infanteri]] ([[Kopassus]])
| battles             = {{hidden
|''Lihat pertempuran''
|{{tree list}}
*[[Revolusi Nasional Indonesia]]
** [[Serangan Umum 1 Maret 1949|Serangan umum Maret]]
*[[Pemberontakan Darul Islam]]
* [[Permesta|Pemberontakan Permesta]]
*[[Pemerintah Revolusioner Republik Indonesia|Pemberontakan PRRI]]
** Operasi 17 Agustus
* [[Sengketa Irian Barat]]
**[[Operasi Trikora]]
* [[Konfrontasi Indonesia–Malaysia]]
* [[Invasi Indonesia ke Timor Timur]]
*[[Garuda Indonesia Penerbangan 206]]
{{tree list/end}}
|-
|headerstyle=background:#dbdbdb
|style=text-align:center;
}}
| religion            = [[Katolik]]
}}"
Sempati Air Penerbangan 304,infobox aircraft occurrence,"{{Infobox aircraft occurrence
 | name            = Sempati Air Penerbangan 304
 | occurrence_type = Kecelakaan
 | image           = Fokker F27 d-aeld Marcel van Leeuwen 2-2002.jpg
 | caption         = Pesawat Fokker F27, serupa dengan pesawat yang jatuh
 | date            = 17 Juli 1997
 | summary         = [[Gagal mesin saat lepas landas]] (EFTO), [[kesalahan pilot]]
 | site            = Margahayu, [[Bandung]], [[Jawa Barat]], Indonesia
 | coordinates     = 
 | aircraft_type   = [[Fokker F27|Fokker F-27 Friendship 600]]
 | operator        = [[Sempati Air]]
 | aircraft_name   = ''Jayapura''
 | tail_number     = PK-YPM
 | passengers      = 45
 | crew            = 5
 | fatalities      = 28
 | injuries        = 22±
 | survivors       = 22
 | origin          = [[Bandar Udara Internasional Husein Sastranegara]], [[Bandung]], Indonesia
 | destination     = [[Bandar Udara Halim Perdanakusuma]], [[Jakarta]], Indonesia
}}"
Dwifungsi,,
Kerusuhan di Indonesia,,
Gempa bumi Irian Jaya 1981,infobox earthquake,"{{Infobox earthquake
|title= Gempa bumi Irian Jaya 1981 
|timestamp = 1981-01-19 15:11:01
|anss-url = usp0001bta
|isc-event = 632891
|local-date= {{Start-date|20 Januari 1981}}
|local-time = 00:11:01 [[WIT]]
|map2 = {{Location map | Indonesia Papua Pegunungan#Indonesia 
 | label=
 | lat=-4.58
 | long=139.23
 | mark=Bullseye1.png
 | marksize=40
 | position=top
 | width= 250
 | float=right
 | caption=}}
|magnitude = 6.7 {{M|w|link=y}}
| intensity = {{MMI|7}}
|depth= {{cvt|33|km|abbr=on}}
|location={{coord|-4.58|139.23|display=inline,title}}
|countries affected = [[Irian Jaya]], [[Indonesia]]
|casualties = 305 tewas, 1,000+ hilang
}}"
