article_title,honorific-prefix,name,image,caption,office,order,term_start,term_end,president,predecessor,successor,office2,order2,term_start2,term_end2,president2,predecessor2,successor2,office3,order3,term_start3,term_end3,president3,predecessor3,successor3,term_start4,term_end4,president4,predecessor4,successor4,office5,order5,term_start5,term_end5,president5,predecessor5,successor5,term_start6,term_end6,president6,predecessor6,successor6,office7,order7,term_start7,term_end7,president7,1blankname7,1namedata7,predecessor7,successor7,birth_date,birth_place,death_date,death_place,nationality,party,spouse,children,profession,religion,signature,nickname,allegiance,branch,serviceyears,rank,commands,unit,battles,awards,relations,laterwork,order6,1blankname,military_blank4,termend1,termend3,order9,taoiseach,blank3,vicepresident1,net_worth,1namedata3,constituency3,governor-general,premier2,memorials,twitter,ambassador_from,constituency,other_name,successor10,1blankname2,height,1blankname6,command,chancellor,primeminister4,image_upright,data4,alt,citizenship,placeofburial_coordinates,residence,succeeding3,office4,father,term_start10,restingplacecoordinates,2,salary,office6,blank5,successor1,term_end8,succeeding,term_label5,module5,enteredservice,military_data5,birth_name,vicepresident2,term_label,4blankname7,viceprimeminister,governor_general,other_names,governor1,co-leader2,3namedata7,blank2,governor,image_size,module4,portrayedby,primeminister2,lieutenant2,website,vicepresident5,successor8,appointer,country,1blankname3,cabinet,successor9,termstart2,2blankname7,relatives,data3,native_name,module3,primeminister,term_start1,termend2,office10,1namedata1,alongside6,lieutenant8,data5,term_end10,footnotes,constituency2,Cicit,alongside5,honorific_prefix,military_blank1,1namedata6,order4,otherparty,known_for,term_start8,office1,honorific-suffix,death_cause,committees,1blankname1,term_end9,facebook,smallimage_alt,term_start9,resting_place_coordinates,alongside2,primeminister5,pronunciation,predecessor9,data1,order1,4namedata7,servicenumber,lieutenant,military_data3,resting_place,native_name_lang,module,predecessor8,military_blank3,occupation,constituency7,succeeding2,alongside3,appointed,succeeding1,placeofburial,constituency6,ethnicity,module2,military_blank5,facebookpage,smallimage,governor2,president1,vicepresident3,family,primeminister1,military_data1,mother,currentlyresides,imagesize,governor5,blank1,vicepresident,data2,military_data4,predecessor10,mawards,signature_alt,primeminister3,placeofburial_label,honorific_suffix,birthname,termstart3,1blankname5,office9,status,prior_term,1,vicepresident4,partner,military_data2,battles_label,restingplace,signature_size,3blankname7,1namedata2,termstart1,majority3,blank4,education,relation,alma_mater,parents,military_blank2,order10,2namedata7,vicepresident6,majority,predecessor1,portfolio,lieutenant3,office8,profesion,networth,1namedata5,monarch,othername,order8,deputy,1namedata,term_end1,article_title
Siti Hartinah,,Siti Hartinah,Raden Ayu Siti Hartinah.jpg,,Ibu Negara Indonesia,ke-2,12 Maret 1967,28 April 1996,Soeharto,"Fatmawati
Hartini (pejabat)","Siti Hardijanti Rukmana (pelaksana tugas)
Hasri Ainun Habibie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jaten, Kadipaten Mangkunegaran, Keresidenan Surakarta, Hindia Belanda",,"Jakarta, Indonesia",Indonesia,,Soeharto,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raden Ayu Hj.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Astana Giribangun, Karanganyar, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siti Hartinah
Abdul Azis Saleh,,,"Kol. Abdul Azis Saleh at Djuanda Cabinet, 1957.jpg",,Menteri Koordinator Kompartemen Perindustrian Rakyat Indonesia,,6 Maret 1962,28 Maret 1966,Soekarno,Soeharto,M. Jusuf  Hadi Thayeb,Menteri Pertanian Indonesia,ke-12,10 Juli 1959,6 Maret 1962,Soekarno,Sadjarwo,Sadjarwo,Menteri Kesehatan Indonesia,ke-7,9 April 1957,10 Juli 1959,Soekarno,Handrianus Sinaga,Satrio,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boyolali, Jawa Tengah, Indonesia",,"Jakarta, Indonesia",Indonesia,,,,,Islam,,,Indonesia,25px TNI Angkatan Darat,,25px Mayor Jenderal TNI,,Kesehatan (CKM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hadi Thayeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27 Agustus 1964,,,,,,,,,,,,,,,,,,,Daftar Menteri Perindustrian IndonesiaMenteri Perindustrian Kerajinan Indonesia,,,,,,,,,,,,,,,ke-7,,,,,,,,,,,,,,,,,,,,,,,,Soekarno,,,,,,,Kolonel Abdul Azis Saleh (1957),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tidak ada,,,,,,,,,,,,22 Februari 1966,Abdul Azis Saleh
Soedharmono,,Soedharmono,Sudharmono Official Portrait.jpg,Sudharmono,Wakil Presiden Indonesia ke-5,,11 Maret 1988,11 Maret 1993,Soeharto,Umar Wirahadikusumah,Try Sutrisno,Menteri Sekretaris Negara Indonesia ke-4,,8 April 1972,21 Maret 1988,Soeharto,Alamsyah Ratu Perwiranegara,Moerdiono,Menteri Dalam Negeri Indonesia ke-18,,1 Oktober 1982,19 Maret 1983,Soeharto,Amir Machmud,Soepardjo Rustam,1983,1988,,Amir Murtono,Wahono,,,,,,,,,,,,,,,,,,,,,,,"Cerme, Gresik, Jawa Timur, Hindia Belanda",,"Jakarta, Indonesia",,Partai Golongan Karya,Emma Norma,,Militer,Islam,Sign Sudharmono.png,,,25px TNI Angkatan Darat,1945–1968,25px Letnan Jenderal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ketua Umum Partai Golongan Karya,Soepijo Wirodiredjo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ke-4,,,,,,,,,,,,,,,,,,,,,16078,,,,,,,,,,,,,,,,,,,,,,,,,,,Raden Nganten Sukarsi,,,,,,,,,,,,,,,,,,,,footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soedharmono
Soedjarwo,,,Soedjarwo.gif,,Menteri Kehutanan Indonesia,ke-1,27 Juli 1964,25 Juli 1966,Soekarno,Tidak Ada; jabatan baru,,,,19 Maret 1983,21 Maret 1988,Soeharto,,Hasjrul Harahap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wonogiri, Jawa Tengah, Indonesia",,Singapura,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soedjarwo
Syarief Thayeb,Letnan Jenderal TNI (Purn.) Dr. (H.C.) dr.,,"File:Syarief Thayeb, Duta Besar RI untuk Amerika Serikat.jpg",,Menteri Pendidikan dan Kebudayaan Indonesia,ke-16,22 Januari 1974,29 Maret 1978,Soeharto,Soemantri Brodjonegoro,Daoed Joesoef,,,,,,,,Duta Besar Indonesia untuk Amerika Serikat,ke-7,1971,1974,,Soedjatmoko,Roesmin Noerjadin,27 Agustus 1964,24 Februari 1966,Soekarno,Thoyib Hadiwidjaja,Johannes Leimena,,,18 Maret 1966,27 Maret 1966ad-interim,,Johannes Leimena,Mashuri Saleh,1962,1964,,Soedjono D. Poesponegoro,Sumantri Brodjonegoro,,,,,,,,,,,"Peureulak, Aceh, Hindia Belanda",,,,,,,,Islam,,,,,,,,,,,,,ke-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Menteri Perguruan Tinggi dan Ilmu Pengetahuan Indonesia,,,,,,Rektor Universitas Indonesia,,Mochtar Kusumaatmadja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teuku Mohammad Hadi Thayeb (saudara),,,,,1 Oktober 1977,,,,,,,,,,,,,,,ke-3,,,,Menteri Luar Negeri Indonesia,,,,,,,,,,,,,,,ad-interim,,,,,,,,,,Tentara  Dokter,,,,,,,,,,,,,,Soeharto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ika Dai GakuHarvard UniversityMindanao University,Teuku Chik Mohammad Thayeb,,,,,,Adam Malik,,,,,,,,,,,,29 Maret 1978,Syarief Thayeb
Harmoko,,,"Harmoko, The DPR-RI Stance on the Reform Process and the Resignation of President Soeharto, p39.jpg","Potret sebagai Ketua Dewan Perwakilan Rakyat, 1997",,,,,,,,Ketua Dewan Perwakilan Rakyat Republik Indonesia,ke-12,1 Oktober 1997,30 September 1999,SoehartoBacharuddin Jusuf Habibie,Wahono,Akbar Tandjung,Menteri Penerangan Indonesia,ke-22,19 Maret 1983,16 Maret 1997,Soeharto,Ali Moertopo,R. Hartono,24 Oktober 1993,11 Juli 1998,,Wahono,Akbar Tandjung,,,,,,,,,,,,,,,,,,,,,,,"Patianrowo, Nganjuk, Jawa Timur, Hindia Belanda",,"Rumah Sakit Pusat Angkatan Darat Gatot Soebroto, Jakarta, Indonesia",,Partai Golongan Karya 1977 - 2007,,,Wartawan  Politikus,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jalan Taman Patra XII, Setiabudi, Jakarta",,Ketua Umum Golongan Karya,Asmoprawiro,,,,,,,Amien Rais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Oktober 1997,,,,,,,,,,,,,,,ke-6,Partai Kerakyatan Nasional (2007–2008),,,Ketua Majelis Permusyawaratan Rakyat Republik Indonesia,,COVID-19,,,,,,,,,,,,,ke-10,,,,,"Taman Makam Pahlawan Kalibata, Jakartahttps://news.detik.com/berita/d-5631079/harmoko-menteri-penerangan-era-soeharto-meninggal-dunia ?",,,,,,,,,,,,,,,,,,,SoehartoBacharuddin Jusuf Habibie,,,,,Soeriptinah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wahono,,,,,,,,,,,,30 September 1999,Harmoko
Moerdiono,,,Sixth Development Cabinet Poster (Moerdiono).jpg,,,,,,,,,Sekretaris Kabinet Indonesia,ke-3,29 Maret 1983,23 Maret 1988,Soeharto,Hugeng Imam Santoso,Saadilah Mursjid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Banyuwangi, Jawa Timur, Hindia Belanda",,Singapura,,Golkar (hingga 2008)Gerindra (setelah 2008),Maryati  Sundari Sukoco  Machica Mochtar  Poppy Dharsono,Pernikahan dengan Maryati:  Ninuk Mardiana Pambudy  Novianto Prakoso (alm)  Indrawan Budi Prasetyo  Baroto Joko Nugroho (alm)  Pernikahan siri dengan Machica Mochtar:  Iqbal Ramadhan,,Islam,Sign Moerdiono.png,,Indonesia,25px TNI Angkatan Darat,1965—1975,25px Letnan Jenderal TNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saadilah Mursjid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21 Maret 1988,,,,,,,,,,,,,,,,,,,Menteri Sekretaris Negara Indonesia,,,,,,,,,,,,,,,ke-5,,,,,,,,,,,,,,,,,,,,,,,,Soeharto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudharmono,,,,,,,,,,,,16 Maret 1998,Moerdiono
Nasrudin Sumintapura,,Nasrudin Sumintapura,Nasrudin Sumintapura - Fifth Development Cabinet.jpg,,Daftar Wakil Menteri Keuangan Indonesia  Menteri Muda Keuangan,Ke-5,23 Maret 1988,11 Maret 1993,Soeharto,Notohamiprodjo,Anny Ratnawati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jakarta, DKI Jakarta, Hindia Belanda",,"Jakarta, DKI Jakarta, Indonesia",Indonesia,,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universitas Indonesia,,,,,,,,,,,,,,,,,,,,Nasrudin Sumintapura
Ipik Asmasoebrata,H.,Ipik Asmasoebrata,,,Anggota Dewan Perwakilan Rakyat Republik Indonesia,,1 Oktober 1982,1 Oktober 1992,,,,Anggota Majelis Permusyawaratan Rakyat,,1980,Oktober 1982,,dr.H.R. Soewondo,Tidak diketahui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tanjungsari, Sumedang, Jawa Barat",,"Jakarta,Indonesia",Indonesia,Partai Nasional IndonesiaPartai Demokrasi Indonesia,,Dadang Suryadi  Alex Asmasoebrata  Ferry Asmasoebrata  Neneng Amalia Dendawacana,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daerah Khusus Ibukota Jakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ramon Papana  Dylan Sada (cucu)  Alexandra Asmasoebrata (cucu),,,,,,,,,,,,,,Daerah Khusus Ibukota Jakarta,,,,,,,,Anggota DPR RI  Pejuang Angkatan '45  Ketua KONI  Pengurus Pordasi  Pemilik Pabrik Rokok Nasional  Tanjungsari  Perintis Pacuan Kuda  Tanjungsari,,,,,,,,,,,,,,,,,,,,,,"Tanjungsari, Sumedang",,,,,Pengusaha  Politikus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ipik Asmasoebrata
Toyib Hadiwijaya,Prof. Dr. Ir. H.,,Indonesia Ambassador to Belgium Tojib Hadiwidjaja.jpg,Potret sebagai Duta Besar Indonesia untuk Belgia (1964),Menteri Pertanian Indonesia,ke-16,6 Juni 1968,29 Maret 1978,Soeharto,Sutjipto,Soedarsono Hadisapoetro,Duta Besar Indonesia untuk Belgia,ke-5,1964,1966,Soekarno,Laili Roesad,Aboeprajitno,Menteri Perguruan Tinggi dan Ilmu Pengetahuan Indonesia,ke-2,6 Maret 1962,27 Agustus 1964,Soekarno,Iwa Kusumasumantri,Syarief Thayeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sukahurip, Cihaurbeuti, Ciamis, Jawa Barat, Indonesia",,"Bogor, Jawa Barat, Indonesia",Indonesia,Independen,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tidak Ada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ᮒ᮪ᮠᮧᮚᮤᮘ᮪ ᮠᮓᮤᮝᮤᮓ᮪ᮏᮏ,,,14 Oktober 1967,,,,,,,,,,,,,,,,,,,Menteri Perkebunan Indonesia ke-3,,,,,,,,,,,,,,,,,,,,,,,,,Pakar Pertanian,,,,,,,,,,,,,,Soeharto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Institut Pertanian BogorUniversitas Indonesia,,,,,,,Sutjipto,,,,,,,,,,,,6 Juni 1968,Toyib Hadiwijaya
Soekarmen,,,LETKOL INF SOEKARMEN.jpg,,Gubernur Bali,Ke-4,1967,1978,,I Gusti Putu Martha,Ida Bagus Mantra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blitar, Jawa Timur, Hindia Belanda",,"Malang, Jawa Timur, Indonesia",Indonesia,,,,,Islam,,,Indonesia,25px TNI Angkatan Darat,,25px Brigadir Jenderal TNI,,Infanteri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soekarmen
Ismail Saleh,,,Ismail Saleh.jpg,,Menteri Kehakiman Indonesia,ke-19,30 Mei 1984,17 Maret 1993,Soeharto,Ali Said,Oetojo Oesman,Jaksa Agung Republik Indonesia,ke-10,18 Februari 1981,30 Mei 1984,Soeharto,Ali Said,Hari Suharto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sukolilo, Pati, Jawa Tengah, Hindia Belanda",,"Jakarta, Indonesia",Indonesia,,,,,Islam,,,,25px TNI Angkatan Darat,,25px Letnan Jenderal TNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ismail Saleh
Sutami,,Sutami,Sutami 2003 Indonesia stamp.jpg,,Menteri Pekerjaan Umum Indonesia ke-16,,22 Februari 1966,17 Oktober 1967,Soekarno,Soeprajogi,,,,17 Oktober 1967,29 Maret 1978,Soeharto,,Purnomosidi Hadjisarosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Surakarta, Jawa Tengah, Hindia Belanda",,"Jakarta, Indonesia",Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sutami
Boediardjo,,,"Het koninklijk paar tijdens een dienst in de Willemskerk in Jakarta, Bestanddeelnr 254-9022 (Boediardjo).jpg",,Duta Besar Indonesia untuk Spanyol,,1976,1979,Soeharto,"Tidak ada, posisi baru",Soerodjo Sarni,Duta Besar Indonesia untuk Kamboja,,1965,1968,,Abdul Karim Rasyid,Suharnoko Harbani,,,,,SoekarnoSoeharto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Magelang, Jawa Tengah, Hindia Belanda",,"Jakarta, Indonesia",,,Sri Redjeki,4,,Islam,,,,25px TNI Angkatan Udara,,25px Marsekal Madya TNI,,Korps Penerbang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mashuri Saleh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 Juni 1968,,,,,,,,,,,,,,,,,,,Menteri Penerangan Indonesia,,,,,,,,,,,,,,,ke-19,,,,,,,,,,,,,,,,,,,,,,,,Soeharto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B. M. Diah,,,,,,,,,,,,28 Maret 1973,Boediardjo
Alamsyah Ratu Perwiranegara,,,Alamsyah Ratu Perwiranegara - Fourth Development Cabinet.jpg,,Menteri Koordinator Bidang Kesejahteraan Rakyat Republik Indonesia,ke-6,19 Maret 1983,23 Maret 1988,Soeharto,Surono Reksodimejo,Soepardjo Rustam,Menteri Agama Indonesia,ke-13,29 Maret 1978,19 Maret 1983,Soeharto,Mukti Ali,Munawir Sjadzali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kotabumi, Lampung, Hindia Belanda",,"Jakarta, Indonesia",,,,5,,,,,,25px TNI Angkatan Darat,1945–1974,25px Letnan Jenderal TNI,,Infanteri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gyu Gun (1943)U.S Army General and Command Staff College (1962),,,,,,,,,,,,,,,,,,,,Alamsyah Ratu Perwiranegara
Kasman Singodimedjo,,Kasman Singodimedjo,Kasman Singodimedjo.jpg,,Ketua Komite Nasional Indonesia Pusat,ke-1,29 Agustus 1945,17 Oktober 1945,,Tidak ada; jabatan baru,Soetan Sjahrir,Jaksa Agung Republik Indonesia,ke-2,8 November 1945,6 Mei 1946,Soekarno,Gatot Taroenamihardja,Tirtawinata,Menteri Muda Kehakiman Indonesia,ke-2,11 November 1947,29 Januari 1948,,Hadi,Denny Indrayana,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Purworejo, Jawa Tengah, Hindia Belanda",,"Jakarta, Indonesia",Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Taman Pemakaman Umum Tanah Kusir, Jakarta.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amir Sjarifuddin,,,,,,,,,,,,,,,,,,,,,,,"STOVIA, MULO, GMS, AMS, HIS, ELS",,,,,,,,,,,,,,,,,,,,Kasman Singodimedjo
Hoegeng Iman Santoso,,Hoegeng Iman Santoso,"Police chief Hugeng Iman Santoso, Sekilas Lintas Kepolisian Republik Indonesia, p20.jpg",,Kepala Kepolisian Negara Republik IndonesiaKepala Staf Angkatan Kepolisian Republik Indonesia,ke-5,9 Mei 1968,2 Oktober 1971,SoekarnoSoeharto,Soetjipto Joedodihardjo,M. Hasan,Sekretaris Kabinet Indonesia,ke-2,27 Maret 1966,25 Juli 1966,Soeharto,Djamin Ginting,Sudharmono,Direktur Jenderal Imigrasi,ke-4,19 Januari 1961,22 Juni 1965,Soekarno,Notohatyanto,Widikdo Soedikman,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pekalongan, Jawa Tengah, Hindia Belanda",,"Jakarta, Indonesia",,,"Meriyati ""Merry"" Roeslani",3,,Islam,,,,25px Kepolisian Republik Indonesia,1944—1971,25px Jenderal Polisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rudy Wowor (menantu)Kasino(Keponakan),,,,,,,,,,,,,,,,,,,,,Hoegeng Iman Santoso
Umar Rukman,,Umar Rukman,"U. Rukman, Irian Barat dari Masa ke Masa, p102-103.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Majalengka, Jawa Barat, Hindia Belanda",,,,,,,,,,,,25px TNI Angkatan Darat,19451969,25px Mayor Jenderal TNI,,Infanteri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Umar Rukman
Sugiyono (politikus),,Sugiyono,,,Wakil Gubernur Papua,ke-5,1983,1987,Soeharto,Izaac Hindom,Poedjono Pranyoto,Wali Kota Malang,ke-10,19 Juni 1973,1983,Soeharto,Indra Soedarmadji,Soeprapto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blitar, Jawa Timur, Indonesia",,"Malang, Jawa Timur, Indonesia",,(1988-2004),Egni Rumambi,"5, termasuk Eddy Rumpoko",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Izaac Hindom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R.P. Mohammad NoerSoenandar Prijosoedarmo,,,,,,,,210px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sugiyono (politikus)
Ibnu Sutowo,,Ibnu Sutowo,Ibnu Sutowo - Saatnya Saya Bercerita (Sampul Buku).jpg,,,,28 Maret 1966,25 Juli 1966,Soekarno,Armunanto,Slamet Bratanata,,,5 September 1955,2 Juli 1956,,Kolonel Inf Bambang Utoyo,Letkol Inf Barlian,Direktur Utama Pertamina,,9 Oktober 1968,3 Maret 1976,,Tidak diketahui,Piet Haryono,1986,1992,,Soeyoso Soemodimedjo,Siti Hardijanti Rukmana,,,,,,,,,,,,,,,,,,,,,,,"Yogyakarta, Hindia Belanda",,"Jakarta, Indonesia",,,Zaleha binti Sjafe'ie,Pontjo Sutowo dan 6 lainnya,TentaraDokter,Islam,,,,25px TNI Angkatan Darat,1946–1976,25px Letnan Jenderal TNI,,Kesehatan (CKM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ketua Umum Palang Merah Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ke-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibnu Sutowo
A.M. Fatwa,Kapten KKO (Purn.),Andi Mappetahang Fatwa,AM Fatwa.jpg,A.M. Fatwa sebagai anggota DPD RI,Ketua Badan Kehormatan DPD-RI,ke-3,9 Oktober 2014,11 Oktober 2016,,,,Wakil Ketua Majelis Permusyawaratan Rakyat Republik Indonesia,,1 Oktober 2004,30 September 2009,,,,Wakil Ketua Dewan Perwakilan RakyatBidang Kesejahteraan Rakyat,,1 Oktober 1999,30 September 2004,,,Zaenal Ma’arif,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bone, Sulawesi Selatan, Hindia Belanda",,"Jakarta, Indonesia",,,Ny. Noenoeng Noerdjanah,1. Dian Islamiati2. Diah Sakinah3. Ikar Fatahillah4. Rijalulhaq5. M. Averus,,Islam,,A. M. Fatwa,,25px TNI Angkatan Laut,1960–1970,25px Kapten,,KKO,,,,,,Ketua DPD,,,,,,,,,Akbar Tanjung,,,,,,,,,,Ketua MPR,,,,,,,,,,,"Jakarta, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ketua DPR,,,,,,,,,,1 Oktober 2009,,,,,,,,,,,,,,,,,,,Anggota DPD-RI dari DKI Jakarta,,Kanker hati,,,,,,,,Aksa Mahmud & Mooryati Soedibyo,,,,,,,,,,Taman Makam Pahlawan Nasional Utama Kalibata,,,,,TentaraPolitikus,,,Soetardjo SoerjogoeritnoKhofifah Indar ParawansaMuhaimin Iskandar,,,,,,,,,,,,,,,,,,200px,,,,,,,,,,,,,,,,,,,,,,,,,,Hidayat Nur Wahid,,,,,,Akademi Angkatan Laut (1960),,,,,,,,,,,,,,,,,,Irman Gusman,30 September 2014,A.M. Fatwa
