Title,Properties
Try Sutrisno,"{{Infobox Vice President
| honorific-prefix    = <small>
[[Jenderal]] [[Tentara Nasional Indonesia|TNI]] ([[Purnawirawan|Purn.]]) [[Haji|H.]]</small>
| name                = Try Sutrisno
| image               = Try Sutrisno Official Portrait.jpg
| order               = ke-6
| office              = Wakil Presiden Indonesia
| term_start          = 11 Maret 1993
| term_end            = 11 Maret 1998
| president           = [[Soeharto]]
| predecessor         = [[Sudharmono]]
| successor           = [[B. J. Habibie]]
| office2             = Panglima Tentara Nasional Indonesia{{!}}Panglima Angkatan Bersenjata Republik Indonesia
| order2              = ke-9
| term_start2         = 27 Februari 1988
| term_end2           = 19 Februari 1993
| president2          = Soeharto
| predecessor2        = [[Leonardus Benyamin Moerdani|L.B. Moerdani]]
| successor2          = [[Edi Sudradjat]]
| office3             = Kepala Staf TNI Angkatan Darat
| order3              = ke-15
| term_start3         = 7 Juni 1986
| term_end3           = 2 Februari 1988
| predecessor3        = [[Rudini]]
| successor3          = [[Edi Sudradjat]]
| office4             = Ketua Umum PBSI
| order4              = ke-6
| term_start4         = 1985
| term_end4           = 1993
| president4          = 
| predecessor4        = [[Ferry Sonneville]]
| successor4          = [[Soerjadi (militer)|Soerjadi]]
| birth_date          = {{birth date and age|1935|11|15|}}
| birth_place         = [[Surabaya]], [[Jawa Timur]], [[Hindia Belanda]]
| allegiance          = {{flag|Indonesia}}
| serviceyears        = 1959–1993
| servicenumber       = 18438
| rank                = [[Berkas:Pdu jendtni staf.png|25px]] [[Jenderal]] [[TNI]]
| branch              = [[Berkas:Insignia of the Indonesian Army.svg|25px]] [[TNI Angkatan Darat]]
| unit                = [[Zeni]]
| battles             = [[Operasi 17 Agustus]]<br>[[Operasi Trikora]]<br>[[Konfrontasi Indonesia–Malaysia]]<br>[[Operasi Seroja]]{{br}}[[Pemberontakan di Aceh]]
| nationality         = [[Indonesia]]
| party               = [[Golkar]]<br>[[PKPI]]
| spouse              = [[Tuti Sutiawati]]
| children            = 7, termasuk [[Firman Santyabudi|Firman]] dan [[Kunto Arief Wibowo|Kunto]]
| relatives           = {{bulleted list|[[Musannif Ryacudu]] (besan)|[[Ryamizard Ryacudu]] (menantu)|[[Danang Hadiwibowo]] (menantu)}}
| residence           = 
| alma_mater          = [[Akademi Militer|Akademi Teknik AD]] (1959)
| profession          = Tentara, Politisi
| signature           = Signature of Try Sutrisno.svg
| caption             = Foto Resmi Try Sutrisno Tahun 1993
}}"
Berkas:Kamp Moncongloe6.jpg,
Sunawar Sukowati,"{{Infobox Officeholder
|honorific-prefix = 
|name             = Sunawar Sukowati
|image            = Sunawar Sukowati.jpg
|imagesize        = 
|caption          = 
|office           = Menteri Negara Bidang Pengawasan Proyek-proyek Pemerintah Indonesia
|order            = ke-1
|president        = [[Soeharto]]
|term_start       = 10 Juni 1968
|term_end         = 9 September 1971
|predecessor      = 
|successor        = [[Widjojo Nitisastro]]
|office1           = Menteri Negara Kesejahteraan Rakyat Indonesia
|order1            = ke-5
|president1        = [[Soeharto]]
|term_start1       = 28 Maret 1973
|term_end1         = 29 Maret 1978
|predecessor1      = [[Idham Chalid]]
|successor1        = [[Surono Reksodimedjo]]
|office2            = [[Partai Demokrasi Indonesia|Ketua Umum Partai Demokrasi Indonesia]]
|order2              = 
|president2          = 
|term_start2         = 16 Oktober 1980
|term_end2           = 12 Januari 1986
|predecessor2        = [[Sanusi Hardjadinata]]
|successor2          = [[Soerjadi]]
|birth_date       = {{birth date|1922|09|06}}
|birth_place      = [[Solo]], [[Jawa Tengah]], [[Hindia Belanda]] 
|death_date       = {{death date and age|1986|01|12|1922|09|06}}
|death_place      = [[Bogor]], [[Jawa Barat]], [[Indonesia]]
|party            = [[Partai Demokrasi Indonesia]] <br> [[Partai Nasional Indonesia]]
|spouse           = 
|children         = [[Edwin Sunawar Sukowati]]
|residence        = 
|alma_mater       = [[Universitas Gadjah Mada]]<br>[[Universitas Padjadjaran]]
|occupation       = [[Pengacara]]
|religion         = 
}}"
Subroto,"{{Infobox Officeholder
|honorific-prefix = 
|name             = {{PAGENAME}}
|image            = Subroto.jpg
|imagesize        = 
|caption          = 
|office           = Daftar Menteri Energi dan Sumber Daya Mineral Indonesia|Menteri Pertambangan dan Energi Indonesia
|order            = ke-7
|term_start       = 29 Maret 1978
|term_end         = 21 Maret 1988
|president        = [[Soeharto]]
|predecessor      = [[Mohammad Sadli]]
|successor        = [[Ginandjar Kartasasmita]]
|office2          = Daftar Menteri Ketenagakerjaan Indonesia|Menteri Tenaga Kerja, Transmigrasi, dan Koperasi Indonesia
|order2           = <ref group=""note"" name=""kop1"">Menteri Transmigrasi dan Koperasi ([[11 September]] [[1971]]-[[28 Maret]] [[1973]]); Menteri Tenaga Kerja, Transmigrasi, dan Koperasi ([[28 Maret]] [[1973]]-[[29 Maret]] [[1978]]).</ref>
|term_start2      = 11 September 1971
|term_end2        = 29 Maret 1978
|president2       = [[Soeharto]]
|predecessor2     = [[M. Sarbini]]
|successor2       = [[Harun Zain]]<br>[[Radius Prawiro]]<br>[[Bustanil Arifin]]
|birth_date       = {{birth date|1923|9|19}}
|birth_place      =  [[Sewu, Jebres, Surakarta]], [[Jawa Tengah]], [[Hindia Belanda]]
|death_date       = {{death date and age|2022|12|20|1923|9|19}}
|death_place      = [[Jakarta]]
|nationality      = [[Indonesia]]
|party            = 
|spouse           = Trisnawati
|children         = {{unbulleted list|1. Aswin Kartiko|2. Baruno Sapto|3. Hananto Seno}}
|residence        = 
|alma_mater       = [[Universitas Indonesia]]
|occupation       = [[Akademisi]]
|religion         = [[Islam]]
}}"
Osa Maliki Wangsadinata,"{{Infobox Officeholder
|name        = Osa Maliki Wangsadinata
|image       = Osa Maliki, Hasil Rakjat Memilih Tokoh-tokoh Parlemen (Hasil Pemilihan Umum Pertama - 1955) di Republik Indonesia, p75.jpg
|alt         = 
|caption     = 
|birth_name  = 
|birth_date  = {{birth date|1907|12|30}} 
|birth_place = {{flagicon | Hindia Belanda}} [[Padalarang, Bandung Barat]]
|death_date  = {{death date and age|1969|09|14|1907|12|30}} 
|death_place = {{flagicon| Indonesia}} [[Semarang]], [[Jawa Tengah]]
|resting_place = [[TMP Cikutra]], [[Bandung]], [[Jawa Barat]]
|nationality = {{flagicon| Indonesia}} [[Indonesia]] 
|other_names = 
|known_for   = Anggota  [[DPR RI|Dewan Perwakilan Rakyat Republik Indonesia]] <br/> Ketua [[Partai Nasional Indonesia]] Osa-Usep <br/> Digulis
|religion = [[Islam]]
|children= 
|spouse = 
|relatives= 
|party = [[Berkas:Indonesian National Party.png|20px]] [[Partai Nasional Indonesia]]
|occupation  = 
|alma_mater =
}}"
Gatot Taroenamihardja,"{{Infobox Officeholder
|honorific-prefix =
|name = {{PAGENAME}}
|honorific-suffix = 
|image = Gatot Taroenamihardja, Jaksa Agung Indonesia.gif
|imagesize = 220px
|caption = Gatot Taroenamihardja
|office  = Jaksa Agung Republik Indonesia
|order  = ke-1
|term_start = 12 Agustus 1945
|term_end = 22 Oktober 1945
|president  = [[Soekarno]]
|vicepresident = [[Mohammad Hatta]]
|predecessor = ''Tidak ada, jabatan baru''
|successor = [[Kasman Singodimedjo]]
|birth_date = {{birth date|1901|11|24}}
|birth_place = [[Sukabumi]], [[Keresidenan Priangan]], [[Hindia Belanda]]
|death_date = {{death date and age|1971|12|24|1901|11|24}}
|death_place = [[Indonesia]]
|nationality = [[Indonesia]]
|party = 
|spouse = 
|relations =
|children = 
|alma_mater =
|occupation =
|profesion =
|signature =
|website =
|footnotes =
}}"
Yoga Sugama,"{{Infobox Officeholder
|honorific-prefix = 
|name             = Yoga Sugama
|image            = Yoga Soegomo.jpg
|imagesize        = 200px
|caption          = Jenderal (Purn) Yoga Sugama
|office           = Kepala Badan Intelijen Negara{{!}}Kepala Badan Koordinasi Intelijen Negara
|order            = Ke-4
|term_start       = Januari 1974
|term_end         = Juni 1989
|president        = [[Soeharto]]
|predecessor      = [[Sutopo Juwono]]
|successor        = Sudibyo
|office1        = Kepala Staf Komando Keamanan dan Ketertiban
|term_start1  = 1980
|term_end1   = 1989
|president1   = [[Soeharto]]
|vicepresident1 = [[Adam Malik]]<br/>[[Umar Wirahadikusumah]]<br/>[[Sudharmono]]
|1blankname1 = [[Panglima Kopkamtib]]
|1namedata1 = [[Sudomo]]<br/>[[L.B. Moerdani]]
|office2          = Daftar Duta Besar Indonesia untuk Perserikatan Bangsa-Bangsa{{!}}Duta Besar Indonesia untuk Perserikatan Bangsa-Bangsa
|order2           = 7
|term_start2      = 1971
|term_end2        = 1974
|president2       = [[Soeharto]]
|predecessor2     = [[Roeslan Abdulgani]]
|successor2       = [[Khaidir Anwar Sani]]
|office3          = Daftar Kepala Badan Intelijen Negara{{!}}Kepala Komando Intelijen Negara
|order3           = Ke-4
|term_start3      = 22 Agustus 1966
|term_end3        = 22 Mei 1967
|president3       = [[Soekarno]]<br/>[[Soeharto]]
|predecessor3     = [[Soeharto]]
|successor3       = Soedirgo
|birth_date       = {{birth date|1925|5|12}}
|birth_place      = [[Tegal]], [[Jawa Tengah]], [[Hindia Belanda]]
|death_date       = {{death date and age|2003|4|23|1925|5|12}}
|death_place      = [[Jakarta]], [[Indonesia]]
|serviceyears     = 
|servicenumber    = 14527
|branch           = [[Berkas:Insignia of the Indonesian Army.svg|25px]] [[TNI Angkatan Darat]]
|allegiance       = [[Indonesia]]
|rank             = [[File:22-TNI Army-GEN.svg|25px| ]] [[Jenderal]] [[TNI]]
|party            = 
|spouse           = 
|children         = 
|residence        = 
|alma_mater       = 
|occupation       = 
}}"
Slamet Bratanata,"{{Infobox Officeholder
|honorific-prefix = 
|name             = {{PAGENAME}}
|image            = Menteri Pertambangan Bratanata.jpg
|imagesize        = 130px
|caption          = 
|office           = Menteri Pertambangan Indonesia
|order            = ke-4
|term_start       = 25 Juli 1966
|term_end         = 17 Oktober 1967
|president        = [[Soekarno]]
|predecessor      = [[Ibnu Sutowo]]
|successor        = [[Sumantri Brodjonegoro]]
|birth_date       = {{birth date|1928|02|28}}
|birth_place      = [[Surakarta]]
|death_date       = {{death date and age|1992|06|12|1928|02|28}}
|death_place      =  [[Jakarta]], [[Indonesia]]
|party            = 
|spouse           = 
|children         = 
|residence        = 
|alma_mater       = 
|occupation       = 
|religion         = 
}}"
Eurico Guterres,"{{Infobox Officeholder
|honorific-prefix    =
|name                = Eurico Guterres
|honorific-suffix    = 
|image               = 0240 Militia Leader Eurico Guterres 1999.jpg
|imagesize           = 
|smallimage          =
|caption             = Eurico Guterres
|order               = 
|office              = Ketua Umum [[Uni Timor Aswain]]
|term_start          = 2010
|term_end            = 2019
|predecessor         = [[Domingos MD Soares]]
|successor           = [[Filomeno Hornay]] (Pj.)
|office2 = Anggota [[DPRD]] [[Timor Timur]] Fraksi [[Golkar]]
|order2 = 
|term_start2 = 1999
|term_end2 = 2004
|lieutenant2 = 
|president2 = [[Bacharuddin Jusuf Habibie]]
|governor2 = [[José Abílio Osório Soares]]
|predecessor2 = 
|successor2 = 
|birth_date          = {{birth date and age|1969|7|4}}
|birth_place         = Waitame, Uatolari, [[Viqueque]], [[Timor Portugis]]
|death_date          = 
|death_place         = 
|nationality         = [[Indonesia]]
|party               = {{Parpolicon|Partai Gerakan Indonesia Raya}} (2021–sekarang)
|otherparty          = {{unbulleted list|{{Parpolicon|Partai Golongan Karya}} (1999–2000)|{{Parpolicon|Partai Demokrasi Indonesia Perjuangan}} (2000–2005)|{{Parpolicon|Partai Amanat Nasional}} (2005–2017)|{{Parpolicon|Partai Persatuan Indonesia}} (2018–2021)}}
|spouse              = Guida Giatris
|partner             = <!--For those with a domestic partner and not married -->
|relations           =
|children            = {{unbulleted list|Gakes Guterres (1993)|Alicia Cloutilde (1995)|Ronaldo Guterres (2000)}}
|parents             = 
|residence           =
|alma_mater          =
|occupation          =
|profession          = [[Politisi]]
|awards              = [[Bintang Jasa Utama]]<ref>{{Cite news|url=https://www.cnnindonesia.com/nasional/20210812103324-20-679397/daftar-tokoh-penerima-tanda-jasa-dan-kehormatan-dari-jokowi|title=Daftar Tokoh Penerima Tanda Jasa dan Kehormatan dari Jokowi|date=12 Agustus 2021|access-date=5 September 2021|work=[[CNN Indonesia]]}}</ref>
|signature           =
}}"
Judilherry Justam,"{{Infobox person
|name        = Judilherry Justam 
|image       = 
|imagesize   = 220px
|alt         = 
|caption     = 
|birth_name  =  
|birth_date  = {{Birth date and age|1948|09|27}}
|birth_place = [[Berkas:Logo Kota Bukittinggi.png|20px]] [[Bukittinggi]], [[Sumatera Barat]]
|death_date  = <!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} (tanggal meninggal diikuti tanggal lahir) --> 
|death_place = 
|nationality = [[Indonesia]]
|other_names = 
|alma_mater  = [[Universitas Indonesia]]
|occupation  = [[Politisi]] <br/> [[pengusaha]]
|known_for   = [[Aktivis]] [[Malapetaka Lima Belas Januari|Malari]] dan [[reformasi]] 
|religion    = [[Islam]] 
|party       = [[Partai Demokrasi Indonesia Perjuangan]]
|spouse      = 
|children    = 
|parents     = 
}}"
Penumpasan Pengkhianatan G 30 S PKI,"{{Infobox film
|name           = Penumpasan Pengkhianatan G 30 S PKI
|image          = Pengkhianatan G 30 S-PKI.jpg
|image size     = 300px
|border         =
|alt            = Poster rilis, menampilkan lima tokoh utama, montase adegan, dan judul ""Penumpasan Pengkhianatan G 30 S PKI""
|caption        = Poster rilis oleh PPFN (1984)
|director       = [[Arifin C. Noer]]
|producer       = {{plain list|
[[Gufran Dwipayana|G. Dwipayana]]
}}
|screenplay     = {{plain list|
*Arifin C. Noer
*[[Nugroho Notosusanto]]
}}
|starring       = {{plain list|
*[[Bram Adrianto]]
*[[Syubah Asa]]
*[[Ade Irawan]]
*[[Amoroso Katamsi]]
*[[Umar Kayam]]
*[[Didi Sadikin]]
*[[Kies Slamet]]
*[[Sofia WD]]
*[[Rudy Sukma]]
*[[Wawan Wanisar]]
*[[Keke Tumbuan]]
}}
|music          = Embie C. Noer
|cinematography = [[Hasan Basri Jafar|Hasan Basari]]
|editing        = Supandi
|studio         = [[Produksi Film Negara|Pusat Produksi Film Negara]] [[Kementerian Komunikasi dan Informatika Republik Indonesia|Departemen Penerangan]]
|distributor    = Pusat Produksi Film Negara Departemen Penerangan
|released       = [[15 September]] [[1984]]
|runtime        = 271 menit
|country        = {{negara|Indonesia}} [[Indonesia]]
|language       = [[Bahasa Indonesia]]
|budget         = [[Rupiah|Rp]] 800 juta
|gross          =
}}"
Angkatan Bersenjata Pembebasan Nasional Timor Timur,"{{Infobox military unit
|unit_name= Angkatan Bersenjata Pembebasan Nasional Timor Leste
|image=[[Berkas:FalintilFlag.png|250px]]
|caption=Bendera Falintil
|dates= 20 Agustus 1975 - 1 Februari 2001
|country= [[Timor Leste]] 
|allegiance= [[Nasional]], [[separatis]]
|branch=
|type= 
|role= [[Gerilya]]
|size= 
|command_structure=
|garrison=Pegunungan dan hutan di [[Timor Timur]]
|equipment=
<!-- Commanders -->
|current_commander= {{unbulleted list|[[Rogerio Lobato]] (1975)|[[Nicolau dos Reis Lobato]] (1976—1978)|[[Xanana Gusmão]] (1981—1992)|[[Ma'huno Bulerek Karathayano]] (1992—1993)|[[Nino Konis Santana]] (1993—1998)|[[Taur Matan Ruak]] (1998—2001)}}
|ceremonial_chief=
|colonel_of_the_regiment=
|notable_commanders=
<!-- Insignia -->
|identification_symbol= 
|identification_symbol_2
<!-- Culture and history -->
|nickname= 
|patron=
|motto= 
|colors= 
|march=
|mascot=
|battles= [[Pendudukan Indonesia di Timor Timur]]
|anniversaries=
|decorations=
|battle_honours=
}}"
Hartono Rekso Dharsono,"{{Infobox President
|name          = Hartono Rekso Dharsono
|image         = H. R. Dharsono.jpg
|imagesize     = 200px
|office        = [[Daftar Sekretaris Jenderal ASEAN|Sekretaris Jenderal ASEAN]] ke-1
|term_start    = 5 Juni 1976
|term_end      = 18 Februari 1978
|predecessor   = ''Kantor dibuat''
|successor     = [[Umarjadi Notrowijono]]
|office1       = [[Daftar Panglima Komando Daerah Militer III/Siliwangi|Pangdam Siliwangi]]
|term_start1   = 1966
|term_end1     = 1969
|predecessor1  = [[Ibrahim Adjie]]
|successor1    = [[A.J. Witono Sarsanto]] 
|birth_date    = {{birth date|1925|6|10}}
|birth_place   =  [[Kabupaten Pekalongan|Pekalongan]], [[Jawa Tengah]], [[Hindia Belanda]] (sekarang [[Indonesia]])
|death_date    = {{death date and age|1996|6|5|1925|6|10}}
|death_place   =  [[Bandung]], [[Jawa Barat]], [[Indonesia]]  
|alma_mater    = [[Institut Teknologi Bandung]]
|profession    = [[Diplomat]]
|nationality   = [[Indonesia]] 
|serviceyears     = 1945—1969
|rank             = [[Berkas:Pdu letjendtni komando.png|25px]] [[Letnan Jenderal]] [[TNI]]
|branch           = [[Berkas:Insignia of the Indonesian Army.svg|25px]] [[TNI Angkatan Darat]]
|unit = [[Infanteri]]
}}"
Penembakan misterius,
Besi Merah Putih,
Mochtar Lubis,"{{Infobox person
|name        = Mochtar Lubis
|image       = Mochtar Lubis (1979).jpg
|alt         = 
|caption     = 
|birth_name  = 
|birth_date  = {{Birth date|1922|03|7}}
|birth_place = {{negara|Belanda}} [[Padang]], [[Hindia]]
|death_date  = {{Death date and age|2004|07|2|1922|03|7}} 
|death_place = 
|nationality = Indonesia
|other_names = 
|known_for   = 
|occupation  = Sastrawan, editor
}}"
Sumantri Brodjonegoro,"{{Infobox Officeholder
|honorific-prefix = <!-- Hanya gelar kehormatan/kenegaraan (non-akademis) -->
|name             = {{PAGENAME}}
|image            = Koningin op de tweede dag van het staatsbezoek, Bestanddeelnr 254-9019 (Soemantri Brodjonegoro).jpg
|imagesize        = 
|caption          = 
|office           = Menteri Pendidikan dan Kebudayaan Indonesia
|order            = ke-15
|term_start       = 28 Maret 1973
|term_end         = 18 Desember 1973
|president        = [[Soeharto]]
|predecessor      = [[Mashuri Saleh]]
|successor        = [[Syarief Thayeb]]
|office2          = Menteri Pertambangan Indonesia 
|order2           = ke-5
|term_start2      = 17 Oktober 1967
|term_end2        = 28 Maret 1973
|president2       = [[Soeharto]]
|predecessor2     = [[Slamet Bratanata]]
|successor2       = [[Mohammad Sadli]]
|office4          = Presidium Institut Teknologi Bandung
|order4           = ke-1
|term_start4      = 2 Maret 1959
|term_end4        = 1 November 1959
|predecessor4     = [[Universitas Indonesia Bandung|Periode FT & FIPIA UI Bandung]]
|successor4       = {{nowrap|Prof. Ir. [[R. O. Kosasih]]}}
|office3          = Rektor Universitas Indonesia
|order3           = ke-6
|term_start3      = 1964
|term_end3        = 1973
|predecessor3     = [[Syarief Thayeb]]
|successor3       = [[Slamet Iman Santoso]]<br/><small>(Sebagai Pejabat Rektor)</small>
|birth_date       = {{birth date|1926|6|3}}
|birth_place      = [[Kota Semarang|Semarang]], [[Jawa Tengah]], [[Hindia Belanda]]
|death_date       = {{death date and age|1973|12|18|1926|6|3}}
|death_place      = [[Daerah Khusus Ibukota Jakarta|Jakarta]], [[Indonesia]]
|nationality      = [[Indonesia]]
|party            = 
|spouse           = 
|children         = 3, termasuk [[Bambang Permadi Soemantri Brodjonegoro]]<!-- Kolom ini diisi hanya jumlah anak; hanya nama anak yang secara independen sudah terkenal atau telah memiliki artikelnya di Wikipedia; bila ada rujukan/referensi, uraikan pada artikel -->
|residence        = 
|alma_mater       = [[ITB|Sekolah Tinggi Teknik Bandung]]<br />[[Universitas Teknik Delft|Technische Universiteit Delft]]<br />
|occupation       = Akademisi
|religion         = <!--[[Islam]]-->
}}"
Mohammad Zamroni,"{{Kotak info pemegang jabatan
|honorific prefix = [[Drs.]] [[Haji|H.]]
|name             = {{PAGENAME}}
|image            = Zamroni.jpg|jmpl|200px|Mohammad Zamroni
|office           = Ketua Umum Pergerakan Mahasiswa Islam Indonesia Pusat
|order            = Ke-2
|term_start       = [[1967]]
|term_end         = [[1973]]
|predecessor      = [[Mahbub Djunaidi]]
|successor        = [[Abduh Paddare]]
|birth_date       = {{Birth date|1935|08|10}}
|birth_place      = {{flagicon| Hindia Belanda}} [[Tanjungsari, Sumedang]], [[Jawa Barat]]
|death_date       = {{death date and age|1996|02|05|1935|08|10}}
|death_place      = {{flagicon| Indonesia}} [[Rumah Sakit Umum Pusat Fatmawati|RS Fatmawati]], [[Jakarta Selatan]] ,[[Indonesia]]
|resting_place    = [[Taman Pemakaman Umum Tanah Kusir|TPU Tanah Kusir]] 
}}"
