key,commander1,birth_date,death_date,image,page_title,summary,wikiurl
Pertempuran Medan Area,Achmad Tahir,1924-06-27,2002-08-17,Achmad Tahir - Fourth Development Cabinet.jpg,Achmad Tahir,Jenderal TNI (HOR) (Purn.) Achmad Tahir (27 Juni 1924 – 17 Agustus 2002) adalah seorang pejuang kemerdekaan dan tokoh militer Indonesia. Dia pernah mengemban tugas sebagai Panglima Divisi IV/TKR pada zaman revolusi kemerdekaan Indonesia.,https://id.wikipedia.org/wiki/Achmad_Tahir
Serangan Umum Surakarta,Pakubuwana XII,1925-04-14,2004-06-11,SSISKS_Pakubuwono_XII.jpg,Pakubuwana XII,"Letnan Jenderal TNI (Tit.) Sri Susuhunan Pakubuwana XII (disingkat sebagai PB XII, Jawa: ꦯꦩ꧀ꦥꦺꦪꦤ꧀ꦢꦊꦩ꧀ꦲꦶꦁꦏꦁ​ꦯꦶꦤꦸꦲꦸꦤ꧀ꦑꦁꦗꦼꦁ​ꦯꦸꦱꦸꦲꦸꦤꦤ꧀ꦦꦏꦸꦧꦸꦮꦤ XII; 14 April 1925 – 11 Juni 2004) adalah susuhunan Surakarta yang masa pemerintahannya paling lama di antara raja-raja Jawa, yaitu selama 59 tahun, tepatnya mulai tahun 1945 hingga 2004.",https://id.wikipedia.org/wiki/Pakubuwana_XII
Serangan Umum 1 Maret 1949,Hamengkubuwono IX,1912-04-12,1988-10-02,Hamengkubawono_IX_Official_Portrait.jpg,Hamengkubuwana IX,"Jenderal TNI (Tit.) (Purn.) H. Sri Sultan Hamengkubuwana IX (Jawa: ꦲꦩꦼꦁꦏꦸꦨꦸꦮꦤ꧇꧙꧇; 12 April 1912 – 2 Oktober 1988, lahir dengan nama Gusti Raden Mas Dorodjatun) adalah Sultan Yogyakarta kesembilan dan Gubernur Daerah Istimewa Yogyakarta yang pertama. Ia merupakan Wakil Presiden Indonesia kedua yang menjabat pada tahun 1973–1978. Hamengkubuwana IX juga merupakan Ketua Kwartir Nasional Gerakan Pramuka yang pertama dan dikenal sebagai Bapak Pramuka Indonesia.",https://id.wikipedia.org/wiki/Hamengkubuwana_IX
Penyerbuan Kotabaru Yogyakarta,Hamengkubuwono IX,1912-04-12,1988-10-02,Hamengkubawono_IX_Official_Portrait.jpg,Hamengkubuwana IX,"Jenderal TNI (Tit.) (Purn.) H. Sri Sultan Hamengkubuwana IX (Jawa: ꦲꦩꦼꦁꦏꦸꦨꦸꦮꦤ꧇꧙꧇; 12 April 1912 – 2 Oktober 1988, lahir dengan nama Gusti Raden Mas Dorodjatun) adalah Sultan Yogyakarta kesembilan dan Gubernur Daerah Istimewa Yogyakarta yang pertama. Ia merupakan Wakil Presiden Indonesia kedua yang menjabat pada tahun 1973–1978. Hamengkubuwana IX juga merupakan Ketua Kwartir Nasional Gerakan Pramuka yang pertama dan dikenal sebagai Bapak Pramuka Indonesia.",https://id.wikipedia.org/wiki/Hamengkubuwana_IX
Pertempuran Surabaya,Sutomo,1920-10-03,1981-10-07,Bung_Tomo.jpg,Sutomo,Sutomo (3 Oktober 1920 – 7 Oktober 1981) atau lebih dikenal dengan sapaan akrab Bung Tomo adalah pahlawan nasional Indonesia dan pemimpin militer Indonesia pada masa Revolusi Nasional Indonesia yang dikenal karena peranannya dalam Pertempuran 10 November 1945.,https://id.wikipedia.org/wiki/Sutomo
Peristiwa 19 November,,,,,,,
Peristiwa Tiga Maret,Ismail Lengah,1914-09-22,2005-01-11,https://asset.kompas.com/crops/dnVXmfGXkoUifmdX37ydnOPlKeY=/0x166:1000x833/750x500/data/photo/2023/03/15/64111c9ba8710.jpeg,Ismael Lengah,"Kolonel Ismael Lengah (22 September 1914 – 11 Januari 2005) adalah seorang tokoh militer dan pejuang kemerdekaan Indonesia. Pada tahun 1956 Ismael Lengah menjabat sebagai Panglima Komando Divisi IX Banteng sebelum meletusnya peristiwa PRRI. Komando Divisi IX Banteng adalah salah satu divisi dalam Angkatan Perang Republik Indonesia (APRI) dengan teritorial Sumatra Tengah yang meliputi provinsi Sumatera Barat, Riau, Kepulauan Riau dan Jambi sekarang. Ismael Lengah menjabat posisi panglima dengan pangkat Kolonel ketika itu.Sebelum dan sesudah kemerdekaan Ismael Lengah selalu aktif dalam perjuangan mengusir penjajah. Ia juga pernah memimpin suatu rapat rahasia di Padang yang dilangsungkan pada tanggal 18 Agustus 1945 yang kemudian berlanjut pada tanggal 25 Agustus 1945 dengan mendirikan Balai Penerangan Pemuda Indonesia (BPPI) yang diketuai langsung olehnya. Kelanjutan dari itu pada tanggal 31 Agustus, terbentuklah Komite Nasional Indonesia (KNI) Daerah Sumatra Tengah yang diketuai oleh Muhammad Sjafei.",https://id.wikipedia.org/wiki/Ismael_Lengah
Pertempuran Kumai,,,,,,,
Revolusi Nasional Indonesia,Soekarno,1901-06-06,1970-06-21,Presiden_Sukarno.jpg,Soekarno,"Dr. (H.C.) Ir. H. Soekarno[cat.] (Ejaan Republik: Sukarno, Jawa: ꦯꦸꦑꦂꦟ, pengucapan bahasa Jawa: [suːˈkarnɔ]; 6 Juni 1901 – 21 Juni 1970) adalah seorang politikus yang berperan penting dalam Revolusi Nasional Indonesia. Ia bersama Mohammad Hatta memproklamasikan Kemerdekaan Indonesia pada tanggal 17 Agustus 1945. Ia orang pertama yang mencetuskan konsep mengenai Pancasila sebagai dasar negara Indonesia dan ia sendiri yang menamainya.Selain sebagai proklamator, Soekarno juga menjabat sebagai Presiden Republik Indonesia pertama sejak 1945 hingga 1967, dengan masa pemerintahannya dikenal juga sebagai Orde Lama.:11, 81:26-32 Pada pertengahan tahun 1960-an, di masa-masa akhir jabatan Soekarno, Indonesia mengalami stagnasi produksi, kemiskinan dan kelaparan yang merajalela, infrastruktur yang tidak terurus, dan hiperinflasi mencapai hampir 600 persen.Pada 11 Maret 1966, Soekarno menandatangani Surat Perintah yang dikenal sebagai Supersemar yang menugaskan Letnan Jenderal Soeharto untuk mengamankan dan menjaga keamanan negara dan institusi kepresidenan. Supersemar menjadi landasan Letnan Jenderal Soeharto untuk membubarkan Partai Komunis Indonesia (PKI) dan mengganti anggota-anggotanya yang duduk di parlemen. Setelah pertanggungjawabannya ditolak Majelis Permusyawaratan Rakyat Sementara (MPRS) pada sidang umum ke empat tahun 1967, Soekarno diberhentikan dari jabatannya sebagai presiden pada Sidang Istimewa MPRS pada tahun yang sama dan Soeharto menggantikannya sebagai pejabat Presiden Republik Indonesia.",https://id.wikipedia.org/wiki/Soekarno
Kampanye Hindia Belanda,Archibald Wavell,1883-05-05,1950-05-24,Archibald Wavell2.jpg,"Archibald Wavell, 1st Earl Wavell","Marsekal Lapangan Archibald Percival Wavell, 1st Earl Wavell,  (5 Mei 1883 – 24 Mei 1950) adalah seorang perwira senior Angkatan Darat Inggris. Ia bertugas dalam Perang Boer Kedua, Kampanye Bazar Valley dan Perang Besar, di mana ia terluka dalam Pertempuran Ypres Kedua. Ia bertugas dalam Perang Dunia Kedua, awalnya sebagai Ketua Komandan Timur Tengah, di mana ia memimpin pasukan Inggris menuju kemenangan atas Italia di barat Mesir dan timur Libya saat Operasi Compass pada Desember 1940, dan hanya dikalahkan oleh Angkatan Darat erman di Gurun Barat pada April 1941. Ia bertugas sebagai Ketua Komandan India, dari Juli 1941 sampai Juni 1943 (selain melakukan tur sebagai Komandan ABDACOM) dan kemudian menjabat sebagai Viceroy India sampai ia pensiun pada Februari 1947.","https://id.wikipedia.org/wiki/Archibald_Wavell,_1st_Earl_Wavell"
Operasi 17 Agustus,Soekarno,1901-06-06,1970-06-21,Presiden_Sukarno.jpg,Soekarno,"Dr. (H.C.) Ir. H. Soekarno[cat.] (Ejaan Republik: Sukarno, Jawa: ꦯꦸꦑꦂꦟ, pengucapan bahasa Jawa: [suːˈkarnɔ]; 6 Juni 1901 – 21 Juni 1970) adalah seorang politikus yang berperan penting dalam Revolusi Nasional Indonesia. Ia bersama Mohammad Hatta memproklamasikan Kemerdekaan Indonesia pada tanggal 17 Agustus 1945. Ia orang pertama yang mencetuskan konsep mengenai Pancasila sebagai dasar negara Indonesia dan ia sendiri yang menamainya.Selain sebagai proklamator, Soekarno juga menjabat sebagai Presiden Republik Indonesia pertama sejak 1945 hingga 1967, dengan masa pemerintahannya dikenal juga sebagai Orde Lama.:11, 81:26-32 Pada pertengahan tahun 1960-an, di masa-masa akhir jabatan Soekarno, Indonesia mengalami stagnasi produksi, kemiskinan dan kelaparan yang merajalela, infrastruktur yang tidak terurus, dan hiperinflasi mencapai hampir 600 persen.Pada 11 Maret 1966, Soekarno menandatangani Surat Perintah yang dikenal sebagai Supersemar yang menugaskan Letnan Jenderal Soeharto untuk mengamankan dan menjaga keamanan negara dan institusi kepresidenan. Supersemar menjadi landasan Letnan Jenderal Soeharto untuk membubarkan Partai Komunis Indonesia (PKI) dan mengganti anggota-anggotanya yang duduk di parlemen. Setelah pertanggungjawabannya ditolak Majelis Permusyawaratan Rakyat Sementara (MPRS) pada sidang umum ke empat tahun 1967, Soekarno diberhentikan dari jabatannya sebagai presiden pada Sidang Istimewa MPRS pada tahun yang sama dan Soeharto menggantikannya sebagai pejabat Presiden Republik Indonesia.",https://id.wikipedia.org/wiki/Soekarno
Konflik Papua,Joko Widodo,1961-06-21,"",Joko_Widodo_2019_official_portrait.jpg,Joko Widodo,"Ir. H. Joko Widodo (Indonesia: [dʒɔkɔ widɔdɔ]; lahir 21 Juni 1961), lebih dikenal sebagai Jokowi, adalah presiden Indonesia ke-7 yang mulai menjabat sejak terpilih dalam pemilihan umum tahun 2014. Jokowi menjadi presiden Indonesia pertama yang bukan berasal dari elit politik atau militer Indonesia. Ia terpilih bersama Wakil Presiden Jusuf Kalla dan kembali terpilih bersama Wakil Presiden Ma'ruf Amin pada tahun 2019. Sebelumnya ia menjabat sebagai Wali Kota Surakarta dan Gubernur DKI Jakarta.",https://id.wikipedia.org/wiki/Joko_Widodo
Pertempuran Lima Hari,Wongsonegoro,1897-04-20,1978-03-04,"Wongsonegoro,_Kami_Perkenalkan_(1954),_p17.jpg",Wongsonegoro,"Mr. Wongsonegoro (20 April 1897 – 4 Maret 1978) adalah Wakil Perdana Menteri Indonesia Kabinet Ali Sastroamidjojo I pada tahun 1953 hingga tahun 1955 dan Menteri Pendidikan dan Kebudayaan Indonesia pada tahun 1951 hingga tahun 1952. Selain itu pada masa persiapan kemerdekaan Indonesia, ia juga bergabung dengan BPUPKI, mewakili Surakarta, bersama-sama dengan Wuryaningrat, Sosrodiningrat, dan Radjiman Wedyodiningrat.",https://id.wikipedia.org/wiki/Wongsonegoro
Bandung Lautan Api,Muhammad Toha,1927-01-01,1946-07-11,Muhammad Toha.jpg,Muhammad Toha,"Mohammad Toha atau Mohammad Toha (Bandung, 1927 - Bandung, 11 Juli 1946) adalah seorang komandan Barisan Rakjat Indonesia, sebuah kelompok milisi pejuang yang aktif dalam masa Perang Kemerdekaan Indonesia. Toha gugur dalam kebakaran misi penghancuran gudang amunisi milik Tentara Sekutu bersama rekannya, setelah meledakkan dinamit dalam gudang amunisi tersebut.",https://id.wikipedia.org/wiki/Muhammad_Toha
Perang Cumbok,Teungku Ahmad Hasballah,,,,,,
Perang Cumbok,Teungku Hasan Krueng Kalee,,,,,,
Perang Cumbok,Syamaun Gaharu,1913-11-10,2000-09-30,Letnan_Kolonel_Sjamaun_Gaharu.jpg,Syamaun Gaharu,Brigjen TNI (Purn.) H. Syamaun Gaharu (10 November 1913 – 30 September 2000) adalah seorang tokoh pejuang kemerdekaan menentang pemerintahan Hindia Belanda di Aceh.,https://id.wikipedia.org/wiki/Syamaun_Gaharu
Kampanye Kalimantan (1945),Leslie Morshead,1889-09-18,1959-09-26,Morshead_(AWM_009517).jpg,Leslie Morshead,"Letnan Jenderal Sir Leslie James Morshead,  (18 September 1889 – 26 September 1959) adalah seorang prajurit, guru, pengusaha, dan petani asal Australia, yang berkarier militer sepanjang dua perang dunia. Pada Perang Dunia Kedua, ia memimpin pasukan Australia dan Inggris di Pengepungan Tobruk (1941) dan di Pertempuran El Alamein Kedua",https://id.wikipedia.org/wiki/Leslie_Morshead
Kampanye Kalimantan (1945),Thomas Kinkaid,,,,,,
Pertempuran Medan Area,Abdul Karim M.S,,,,,,
Pertempuran Medan Area,Djamin Ginting,1921-01-12,1974-10-23,Djamin_Ginting.jpg,Jamin Ginting,Letnan Jenderal TNI (Purn.) Drs. Jamin Ginting Suka (disingkat sebagai Jamin Gintings; Ejaan Republik: Djamin Gintings; 12 Januari 1921 – 23 Oktober 1974) adalah salah satu pejuang kemerdekaan Indonesia yang berasal dari Taneh Karo. Ia diangkat sebagai Pahlawan Nasional Indonesia oleh Joko Widodo pada tanggal 7 November 2014 lalu.,https://id.wikipedia.org/wiki/Jamin_Ginting
Serangan Umum Surakarta,Mangkunegara VIII,1920-01-01,1987-09-03,"Raden_Mas_Saroso_Notosoeparto,_de_latere_Mangkoe_Nagoro_VIII.jpg",Mangkunegara VIII,Kanjeng Gusti Pangeran Adipati Arya Mangkunegara VIII (1 Januari 1920 – 3 September 1987) adalah Adipati kedelapan Mangkunagaran yang merupakan penguasa dari Kadipaten Praja Mangkunegaraan kenaikan takhta tepat pada tanggal 19 Juli 1944 (masa pemerintahaan Jepang) dan bertepatan pada wafat ayahnya yaitu Mangkunegara VII. Mangkunegara VIII memiliki nama B.R.M Natosoeparto dipilih atas dasar karena merupakan anak laki-laki yang tertua dan mempunyai sebuah pengalaman di luar istana.,https://id.wikipedia.org/wiki/Mangkunegara_VIII
Serangan Umum Surakarta,Gatot Subroto,1907-10-10,1962-06-11,"Col_Gatot_Subroto,_Kenang-Kenangan_Pada_Panglima_Besar_Letnan_Djenderal_Soedirman,_p27.jpg",Gatot Soebroto,"Jenderal TNI Gatot Soebroto (10 Oktober 1907 – 11 Juni 1962) adalah tokoh perjuangan militer Indonesia dalam merebut kemerdekaan dan juga pahlawan nasional Indonesia. Ia dimakamkan di Ungaran, kabupaten Semarang.",https://id.wikipedia.org/wiki/Gatot_Soebroto
Serangan Umum Surakarta,Slamet Riyadi,1927-07-26,1950-11-04,"Zaterdag,_12_november_werd_in_het_stadion_te_Solo_een_grote_massabijeenkomst_geh,_Bestanddeelnr_924_(Slamet_Rijadi,_cropped).jpg",Slamet Rijadi,"Brigadir Jenderal (Anumerta) TNI Ignatius Slamet Rijadi (EYD: Ignatius Slamet Riyadi; 26 Juli 1927 – 4 November 1950) adalah seorang tentara Indonesia. Rijadi lahir di Surakarta, Jawa Tengah, putra dari seorang tentara dan penjual buah. ""Dijual"" pada pamannya dan sempat berganti nama saat masih balita demi sembuh dari penyakit, Rijadi tumbuh besar di rumah orangtuanya dan belajar di sekolah milik Belanda. Setelah Jepang menduduki Hindia Belanda, Rijadi menghadiri sekolah pelaut yang dikelola oleh Jepang dan bekerja untuk mereka setelah lulus; ia meninggalkan tentara Jepang menjelang akhir Perang Dunia II dan turut mengobarkan perlawanan selama sisa pendudukan.",https://id.wikipedia.org/wiki/Slamet_Rijadi
Serangan Umum Surakarta,Achmadi Hadisoemarto,1927-06-05,1984-01-02,Achmadi_Hadisumarto.png,Achmadi Hadisoemarto,Mayor Jenderal TNI (Purn.) Achmadi Hadisoemarto (EYD: Akhmadi Hadisumarto; 5 Juni 1927 – 2 Januari 1984)  adalah seorang tentara Indonesia.,https://id.wikipedia.org/wiki/Achmadi_Hadisoemarto
Serangan Umum 1 Maret 1949,Sudirman,1916-01-24,1950-01-29,Sudirman.jpg,Soedirman,"Jenderal Besar TNI (Anumerta) Raden Soedirman (EYD: Sudirman; 24 Januari 1916 – 29 Januari 1950) adalah seorang perwira tinggi Indonesia pada masa Revolusi Nasional Indonesia. Sebagai Panglima Besar Tentara Nasional Indonesia pertama, ia adalah sosok yang dihormati di Indonesia. Terlahir dari pasangan rakyat biasa di Purbalingga, Hindia Belanda, Soedirman diadopsi oleh pamannya yang seorang priyayi. Setelah keluarganya pindah ke Cilacap pada tahun 1916, Soedirman tumbuh menjadi seorang siswa rajin; ia sangat aktif dalam kegiatan ekstrakurikuler, termasuk mengikuti program kepanduan yang dijalankan oleh organisasi Islam Muhammadiyah. Saat di sekolah menengah, Soedirman mulai menunjukkan kemampuannya dalam memimpin dan berorganisasi. Soedirman sangat dihormati oleh masyarakat karena ketaatannya pada Islam. Setelah berhenti kuliah keguruan, pada 1936 ia mulai bekerja sebagai seorang guru, dan kemudian menjadi kepala sekolah, di sekolah dasar Muhammadiyah; ia juga aktif dalam kegiatan Muhammadiyah lainnya dan menjadi pemimpin Kelompok Pemuda Muhammadiyah pada tahun 1937. Setelah Jepang menduduki Hindia Belanda pada 1942, Soedirman tetap mengajar. Pada tahun 1944, ia bergabung dengan tentara Pembela Tanah Air (PETA) yang disponsori Jepang, menjabat sebagai komandan batalion di Banyumas. Selama menjabat, Soedirman bersama rekannya sesama prajurit melakukan pemberontakan, hingga kemudian diasingkan ke Bogor.",https://id.wikipedia.org/wiki/Soedirman
Serangan Umum 1 Maret 1949,Bambang Soegeng,1913-10-31,1977-06-22,Djenderal_Major_Bambang_Sugeng.png,Bambang Soegeng,"Letnan Jenderal TNI (Purn.) Bambang Soegeng (ER: Bambang Sugeng) (31 Oktober 1913 – 22 Juni 1977) adalah seorang tokoh militer Indonesia dan pernah menjadi Kepala Staf TNI Angkatan Darat ke-3 yang menjabat dari tanggal 22 Desember 1952 hingga 8 Mei 1955.Selain berkarier di dunia militer, Bambang juga pernah menjabat sebagai Duta Besar Indonesia untuk Vatikan, Jepang, dan Brasil.",https://id.wikipedia.org/wiki/Bambang_Soegeng
Serangan Umum 1 Maret 1949,Soeharto,1921-06-08,2008-01-27,"President_Suharto,_1993.jpg",Soeharto,"Jenderal Besar TNI (Purn.) H. M. Soeharto, (pelafalan dalam bahasa Indonesia: [/suːˈhɑːrtɔ/]; ER, EYD: Suharto; 8 Juni 1921 – 27 Januari 2008) adalah Presiden kedua Indonesia yang menjabat dari tahun 1967 hingga 1998. Secara luas dianggap sebagai diktator militer oleh pengamat internasional, Soeharto memimpin Indonesia sebagai rezim otoriter sejak kejatuhan pendahulunya Soekarno pada tahun 1967 hingga pengunduran dirinya pada tahun 1998 menyusul kerusuhan nasional. Kediktatorannya selama 32 tahun dianggap sebagai salah satu kediktatoran paling brutal dan korup di abad ke-20.Sebelum menjadi presiden, Soeharto adalah pemimpin militer pada masa Hindia Belanda dan Kekaisaran Jepang, dengan pangkat terakhir Mayor Jenderal. Setelah Gerakan 30 September 1965, Soeharto kemudian melakukan operasi penertiban dan pengamanan atas perintah dari Presiden Soekarno, salah satu yang dilakukannya adalah dengan menumpas Gerakan 30 September dan menyatakan bahwa PKI sebagai organisasi terlarang. Berbagai kontroversi menyebut operasi ini menewaskan sekitar 100.000 hingga 2 juta jiwa.Soeharto kemudian diberi mandat oleh Majelis Permusyawaratan Rakyat Sementara (MPRS) sebagai Presiden pada 26 Maret 1968 menggantikan Soekarno, dan resmi menjadi presiden pada tahun 1968. Ia dipilih kembali oleh MPR pada tahun 1973, 1978, 1983, 1988, 1993, dan 1998. Pada tahun 1998, masa jabatannya berakhir setelah mengundurkan diri pada tanggal 21 Mei tahun tersebut, menyusul terjadinya kerusuhan Mei 1998 dan pendudukan gedung DPR/MPR oleh ribuan mahasiswa. Ia merupakan orang terlama yang menjabat sebagai presiden Indonesia. Soeharto digantikan oleh B.J. Habibie.",https://id.wikipedia.org/wiki/Soeharto
Serangan Umum 1 Maret 1949,Ventje Sumual,1923-06-11,2010-03-28,https://mmc.tirto.id/image/2017/03/02/TIRTO_2106LetkolVentjeSumual_square.JPG,Ventje Sumual,Herman Nicolas Ventje Sumual (11 Juni 1923 – 28 Maret 2010) adalah salah seorang perwira militer yang berasal dari unsur kelaskaran dan juga tokoh Permesta.,https://id.wikipedia.org/wiki/Ventje_Sumual
