iri,wikiurl,image,summary
http://127.0.0.1:3333/SultanMuhammadDaudSyah,https://id.wikipedia.org/wiki/Muhammad_Daud_Syah_dari_Aceh,https://upload.wikimedia.org/wikipedia/commons/4/4e/Allah-green.svg,"Muhammad Daud Syah merupakan Sultan Aceh terakhir atau Sultan ke-35. Sultan Daud dinobatkan menjadi sultan di Masjid Tua Indrapuri pada tahun 1874 sampai menyerah kepada Belanda pada tanggal 10 Januari 1903. Ia kemudian diasingkan oleh Hindia Belanda ke Ambon dan terakhir dipindah ke Batavia sampai wafatnya pada tanggal 6 Februari 1939. Sultan Daud merupakan cucu dari Sultan Mansur Syah, yang sampai tahun 1884 merupakan Wali dari Tuanku Hasyim, anak dari Sultan sebelumnya yang juga merupakan pamannya yaitu Sultan Mahmud Syah."
http://127.0.0.1:3333/WilliamBeresford,https://id.wikipedia.org/wiki/Lord_Charles_Beresford,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_the_United_Kingdom_%283-5%29.svg,"Charles William de la Poer Beresford, 1st Baron Beresford,  (10 Februari 1846 – 6 September 1919), bergelar Lord Charles Beresford antara 1859 dan 1916, adalah seorang laksamana dan Anggota Parlemen Inggris.
Beresford adalah putra kedua dari John Beresford, 4th Marquess of Waterford, yang disamping gelar kehormatannya sebagai putra seorang Marquess, ia masih layak untuk masuk Dewan Rakyat. Ia memadukan dua karier angkatan laut dan anggota parlemen, membuat sebuah reputasi sebagai pahlawan tempur dan juara AL dalam Dewan Rakyat.


== Referensi ==


== Daftar pustaka ==
Bennett, Geoffrey (1969). Charlie B. Dawnay."
http://127.0.0.1:3333/OeiIngKiat,https://id.wikipedia.org/wiki/Perang_Kuning,https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_the_Sultanate_of_Mataram.svg,"Perang Kuning (Belanda: Geel Oorlog) adalah serangkaian perlawanan rakyat Lasem-Rembang dan sekitarnya terhadap kekuasaan Vereenigde Oostindische Compagnie (VOC) di Semarang (1741-1742) dan Lasem (1750). Konflik muncul sebagai dampak terjadinya peristiwa Geger Pacinan di Batavia pada tahun 1740 yang diikuti migrasi besar-besaran penduduk Tionghoa dari Batavia ke Semarang dan Lasem. Peristiwa tersebut menimbulkan terjadinya pemberontakan yang dikenal sebagai Perang Jawa di Jawa Tengah dan Jawa Timur (1741-1743), sementara Perang Kuning merupakan perang yang dikobarkan oleh masyarakat Lasem secara khusus. Peperangan pada akhirnya dimenangkan oleh Belanda setelah jatuhnya banyak korban jiwa pada kedua belah pihak serta menyebabkan wilayah Lasem dipisahkan dari Rembang secara de facto. Akhir peperangan ini juga menandakan berakhirnya seluruh perlawanan rakyat Lasem terhadap kekuasaan Kompeni serta kekuasaan keluarga Tejakusuman di Lasem."
http://127.0.0.1:3333/JacquesMacDonald,https://id.wikipedia.org/wiki/%C3%89tienne_Macdonald,https://upload.wikimedia.org/wikipedia/commons/f/f2/Flag_of_Great_Britain_%281707%E2%80%931800%29.svg,"Étienne Jacques-Joseph-Alexandre Macdonald, Adipati Pertama Taranto (17 November 1765 - 25 September 1840), adalah Marsekal Kekaisaran dan pemimpin militer selama Revolusi Prancis dan Peperangan era Napoleon.
Étienne Jacques Joseph Alexandre Macdonald lahir di Sedan, Prancis. Ayahandanya, Neil MacEachen, kemudian MacDonald, berasal dari keluarga Jacobit dari Howbeg di Uist Selatan, Skotlandia Barat. Dia adalah kerabat dekat Flora MacDonald, yang memainkan peran kunci dalam pelarian Pangeran Charles Edward Stuart setelah kegagalan Pemberontakan 1745.


== Lihat pula ==
Daftar Marsekal Kekaisaran Prancis Pertama
Peperangan era Napoleon


== Catatan ==


== Referensi ==
Clausewitz, Carl von (2020)."
http://127.0.0.1:3333/SalvadordeS,https://id.wikipedia.org/wiki/Perang_Belanda-Portugal,https://upload.wikimedia.org/wikipedia/commons/e/e4/33475.jpg,"Perang Belanda-Portugis (Guerra Luso-Neerlandesa dalam bahasa Portugal) adalah konflik bersenjata antara Belanda (Vereenigde Oostindische Compagnie dan Geoctroyeerde Westindische Compagnie) melawan Imperium Portugis. Konflik ini dimulai pada tahun 1602. Belanda menyerang koloni Portugis di Amerika, Afrika, India, dan Timur Jauh. Perang ini dapat dikatakan sebagai perpanjangan dari Perang Delapan Puluh Tahun di Eropa antara Spanyol dengan Belanda karena saat itu pemilik mahkota Portugal dan Spanyol adalah orang yang sama. Namun, konflik ini tidak ada kaitannya dengan perang di Eropa dan meletus karena upaya Belanda untuk menguasai perdagangan."
http://127.0.0.1:3333/GubernurJenderalMatiasdeAlbuquerque,https://id.wikipedia.org/wiki/Perang_Belanda-Portugal,https://upload.wikimedia.org/wikipedia/commons/e/e4/33475.jpg,"Perang Belanda-Portugis (Guerra Luso-Neerlandesa dalam bahasa Portugal) adalah konflik bersenjata antara Belanda (Vereenigde Oostindische Compagnie dan Geoctroyeerde Westindische Compagnie) melawan Imperium Portugis. Konflik ini dimulai pada tahun 1602. Belanda menyerang koloni Portugis di Amerika, Afrika, India, dan Timur Jauh. Perang ini dapat dikatakan sebagai perpanjangan dari Perang Delapan Puluh Tahun di Eropa antara Spanyol dengan Belanda karena saat itu pemilik mahkota Portugal dan Spanyol adalah orang yang sama. Namun, konflik ini tidak ada kaitannya dengan perang di Eropa dan meletus karena upaya Belanda untuk menguasai perdagangan."
http://127.0.0.1:3333/TupiPotiguara,https://id.wikipedia.org/wiki/Perang_Belanda-Portugal,https://upload.wikimedia.org/wikipedia/commons/e/e4/33475.jpg,"Perang Belanda-Portugis (Guerra Luso-Neerlandesa dalam bahasa Portugal) adalah konflik bersenjata antara Belanda (Vereenigde Oostindische Compagnie dan Geoctroyeerde Westindische Compagnie) melawan Imperium Portugis. Konflik ini dimulai pada tahun 1602. Belanda menyerang koloni Portugis di Amerika, Afrika, India, dan Timur Jauh. Perang ini dapat dikatakan sebagai perpanjangan dari Perang Delapan Puluh Tahun di Eropa antara Spanyol dengan Belanda karena saat itu pemilik mahkota Portugal dan Spanyol adalah orang yang sama. Namun, konflik ini tidak ada kaitannya dengan perang di Eropa dan meletus karena upaya Belanda untuk menguasai perdagangan."
http://127.0.0.1:3333/ViceroyPedrodaSilva,"https://id.wikipedia.org/wiki/Pedro_Afonso,_Pangeran_Kekaisaran_Brasil",https://upload.wikimedia.org/wikipedia/commons/0/00/Bertichem_1856_Convento_de_Santo_Ant%C3%B4nio.jpg,"Dom Pedro Afonso (19 Juli 1848 – 10 Januari 1850) adalah pangeran waris sekaligus waris tertentu takhta Kekaisaran Brasil. Ia lahir di Istana São Cristóvão, Rio de Janeiro, sebagai putra kedua sekaligus anak bungsu Kaisar Dom Pedro II dan Permaisuri Dona Teresa Cristina, dan dengan demikian terhitung sebagai ahli keluarga Bragança cabang Brasil. Pedro Afonso digadang-gadangkan menjadi pelestari monarki Kekaisaran Brasil yang terancam punah ketika kakaknya, Dom Afonso, wafat pada tahun 1847.
Kematian Pedro Afonso akibat sakit demam saat berumur satu tahun membuat Dom Pedro II sangat terpukul. Kaisar dan permaisuri tidak lagi dikaruniai keturunan."
http://127.0.0.1:3333/Belanda,https://id.wikipedia.org/wiki/Belanda,https://upload.wikimedia.org/wikipedia/commons/9/93/2012-NL-prov-relief-3000.jpg,"Belanda (Belanda: Nederlandcode: nl is deprecated  [ˈneːdərˌlɑnt] , terj. har. ""tanah rendah"") adalah sebuah negara yang sebagian besar terletak di Benua Eropa. Belanda merupakan bagian dari Kerajaan Belanda, sebuah negara monarki konstitusional yang mencakup seluruh bagian Belanda Eropa serta Belanda Karibia. Belanda terdiri dari dua belas provinsi di Eropa Barat dan tiga pulau teritori di Karibia."
http://127.0.0.1:3333/Kastilia,https://id.wikipedia.org/wiki/Kerajaan_Kastilia,https://upload.wikimedia.org/wikipedia/commons/a/a1/2017-fr.wp-orange-source.svg,"Kerajaan Kastilia (bahasa Spanyol: Reino de Castilla; bahasa Latin: Regnum Castellae) adalah salah satu kerajaan di Semenanjung Iberia pada Abad Pertengahan. Nama ""Kastilia"" dianggap berhubungan dengan banyaknya kastil yang dibangun di wilayahnya. Kerajaan Kastilia merupakan salah satu negara pendahulu Kerajaan Spanyol. Kastilia muncul sebagai entitas politik yang otonom pada abad ke-9, yaitu sebagai County Kastilia yang merupakan negara bawahan dari Kerajaan León. Kastilia menjadi kerajaan yang berdiri sendiri pada tahun 1035."
http://127.0.0.1:3333/NicolaasHartingh,https://id.wikipedia.org/wiki/Perjanjian_Giyanti,https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_the_Sultanate_of_Mataram.svg,"Perjanjian Giyanti (bahasa Jawa: Prajanjèn ing Janti, Belanda: Verdrag van Gijanticode: nl is deprecated , terj. har. ""Perjanjian di Janti"") adalah sebuah perjanjian antara VOC dengan Pangeran Mangkubumi. Perjanjian tersebut secara resmi membagi kekuasaan Kesultanan Mataram kepada Sunan Pakubuwana III dan Pangeran Mangkubumi. 
Raden Mas Said alias Pangeran Sambernyawa tidak ikut dalam perjanjian ini."
http://127.0.0.1:3333/LetnanKolonelElout,https://id.wikipedia.org/wiki/Perang_Padri,https://upload.wikimedia.org/wikipedia/commons/a/a1/2017-fr.wp-orange-source.svg,"Perang Padri (juga dikenal sebagai Perang Minangkabau) adalah perang yang terjadi dari tahun 1803 sampai 1837 di Sumatera Barat, Indonesia antara kaum Padri dan Adat. Kaum Padri adalah umat muslim yang ingin menerapkan Syariat Islam di negeri Minangkabau di Sumatera Barat. Sedangkan kaum Adat mencakup para bangsawan dan ketua-ketua adat di sana. Mereka meminta tolong kepada Belanda, yang kemudian ikut campur pada tahun 1821 dan menolong kaum Adat mengalahkan faksi Padri.

Perang Padri dianggap dimulai pada tahun 1803, sebelum campur tangan Belanda, dan merupakan konflik yang pecah di negeri Minangkabau ketika kaum Padri mulai memberangus adat istiadat yang mereka anggap sebagai tidak Islami."
http://127.0.0.1:3333/Holandia,https://id.wikipedia.org/wiki/Holandia,https://upload.wikimedia.org/wikipedia/commons/2/27/Netherlands_stub.svg,"Holandia atau Holland adalah nama sebuah daerah di sebelah barat Belanda, yang sekarang terletak di provinsi Holland Selatan dan Holland Utara. Namun kedua provinsi ini tidaklah sama dengan wilayah Holandia.
Nama ini berasal dari Holtland atau Holdland, yang artinya adalah ""tanah kayu"" dan sekarang kurang lebih terletak di sekitar Leiden.
Di luar negeri nama ini terutama dipakai untuk merujuk kepada Belanda secara keseluruhan karena memang ini wilayah terpenting Belanda. Di Belanda sendiri nama ini juga dipakai oleh Biro Pariwisata Belanda karena memang nama ini yang lebih dikenal para wisatawan asing."
http://127.0.0.1:3333/Penggugat,https://id.wikipedia.org/wiki/Indonesia_Menggugat,https://upload.wikimedia.org/wikipedia/commons/9/90/Indonesian_Presidential_Seal_gold.svg,"Indonesia Menggugat adalah pidato pembelaan yang dibacakan oleh Soekarno pada persidangan di Landraad, Bandung pada tahun 1930. Soekarno bersama tiga rekannya, yaitu Gatot Mangkupraja, Maskun, dan Supriadinata yang tergabung dalam Perserikatan Nasional Indonesia (PNI) dituduh hendak menggulingkan kekuasaan Hindia Belanda. Dari balik jeruji penjara, Soekarno menyusun dan menulis sendiri pidato tersebut. Isi pidato Indonesia Menggugat adalah tentang keadaan politik internasional dan kerusakan masyarakat Indonesia di bawah penjajah. Pidato pembelaan ini kemudian menjadi suatu dokumen politik menentang kolonialisme dan imperialisme."
http://127.0.0.1:3333/MikhailKutuzov,https://id.wikipedia.org/wiki/Mikhail_Illarionovich_Kutuzov,https://upload.wikimedia.org/wikipedia/commons/b/b1/Kutuzov1.jpg,"Pangeran Mikhail Illarionovich Golenishchev-Kutuzov (bahasa Rusia: князь Михаи́л Илларио́нович Голени́щев-Куту́зов) (16 September [K.J.: 5 September] 1745 — 28 April [K.J.: 16 April] 1813) adalah Marsekal Lapangan Rusia yang dihargai karena berhasil menahan invasi Napoleon ke Rusia.
Pada tahun 1813, Kutuzov sakit dan meninggal pada 28 April 1813 di Bunzlau.


== Kehidupan awal ==
Kutuzov dilahirkan di Saint Petersburg pada 1745 dan memasuki militer Rusia pada 1759 atau 1760. Dia bertugas di Polandia (1764–1769), dan ikut melawan Turki (1770–1774); kehilangan satu mata dalam suatu pertikaian dan setelah itu dia melakukan perjalanan selama beberapa tahun di Eropa barat dan tengah.


== Bacaan lanjutan ==
Parkinson, Roger."
http://127.0.0.1:3333/PyotrBagration,https://id.wikipedia.org/wiki/Pertempuran_Sch%C3%B6ngrabern,https://upload.wikimedia.org/wikipedia/commons/7/7a/Flag_of_the_Habsburg_Monarchy.svg,"Pertempuran Schöngrabern, juga dikenal dengan nama Pertempuran Hollabrunn, adalah sebuah pertempuran yang berlangsung pada tanggal 16 November 1805 selama Perang Koalisi Ketiga di dekat kota Hollabrunn, Austria Hilir, empat minggu setelah meletusnya Pertempuran Ulm dan dua minggu sebelum Pertempuran Austerlitz (Slavkov, Moravia).
Pasukan Rusia di bawah kepemimpinan Kutuzov mundur ke sebelah utara Sungai Donau. Pada 13 November 1805, Marsekal Murat dan Lannes yang memimpin garda depan Prancis telah merebut sebuah jembatan yang menyeberangi Sungai Donau di Wina dengan membuat klaim bahwa gencatan senjata telah disepakati. Mereka lalu langsung merebut jembatan ketika perhatian para penjaganya sedang teralih. Kutuzov butuh waktu untuk berhubungan dengan bala bantuan yang dipimpin oleh Buxhowden di dekat Brno (Brünn)."
http://127.0.0.1:3333/PetarIPetroviNjego,https://id.wikipedia.org/wiki/FK_Vojvodina,https://upload.wikimedia.org/wikipedia/commons/7/76/Captain_sports.svg,"Fudbalski klub Vojvodina (Serbian Cyrillic: Фудбалски клуб Војводина Нови Сад), atau juga Vojvodina Novi Sad (pelafalan dalam bahasa Serbo-Croatian: [ʋojʋodina noʋi sad]) atau hanya Vojvodina, merupakan sebuah tim sepak bola Serbia yang bermain di divisi utama SuperLiga Serbia. Didirikan pada tahun 1914. Berbasis di Vojvodina. Klub ini memainkan pertandingan kandangnya di Stadion Karađorđe yang berkapasitas 15.000 penonton. Seragam mereka berwarna merah putih."
http://127.0.0.1:3333/RoyalisPrancis,https://id.wikipedia.org/wiki/Maurice_d%27Elb%C3%A9e,https://upload.wikimedia.org/wikipedia/commons/3/31/Maurice_d%27Elb%C3%A9e.jpg,"Maurice-Joseph-Louis Gigost d'Elbée (diucapkan [mɔʁis ʒɔzɛf lwi ʒiɡo dɛlbe, moʁ-]; 21 Maret 1752 – 6 Januari 1794) adalah seorang pemimpin militer Royalis Prancis. Awalnya antusias terhadap Resolusi, ia menjadi tak senang dengan peniadaan Gereja Katolik dan menjalani pensiun di lahannya di Beaupreau. Ia menjadi kepala panglima kedua Tentara Kerajaan dan Katolik bentukan paskan Royalis dalam Pemberontakan Vendée melawan Republik dan Revolusi Prancis."
http://127.0.0.1:3333/VictorEmmanuelI,https://id.wikipedia.org/wiki/Vittorio_Emanuele_I_dari_Sardinia,https://upload.wikimedia.org/wikipedia/commons/7/70/Armoiries_Sardaigne_1720.svg,"Vittorio Emanuele I (24 Juli 1759 – 10 Januari 1824) adalah Adipati Savoia dan Raja Sardinia (1802–1821). Vittorio Emanuele adalah putra kedua Vittorio Amadeo III dari Sardinia dan Maria Antonia Fernanda dari Spanyol. Ia adalah cucu dari (garis ibunda) Raja Philippe V dari Spanyol dan Isabel Farnese.
Ia lahir dengan gelar Adipati Aosta. Pada masa kecil dan remajanya ia terjebak di tengah kekacauan perang revolusi Prancis yang memaksa ayahanda dan kakandanya menerima kekalahan dan wilayah mereka teraneksasi."
http://127.0.0.1:3333/LouisNicolasDavout,https://id.wikipedia.org/wiki/Louis-Nicolas_Davout,https://upload.wikimedia.org/wikipedia/commons/4/48/AUT_Order_of_the_Iron_Crown_ribbon.svg,"Louis Nicolas d'Avout (10 Mei 1770 – 1 Juni 1823), lebih dikenal dengan nama Davout, Duc d'Auerstaedt, Pangeran d'Eckmuhl, adalah adalah seorang komandan militer Prancis dan Marsekal Kekaisaran yang bertugas selama Perang Revolusi Prancis dan Perang Napoleon. Sering disebut sebagai Le Maréchal de fer, Marsekal Bertangan Besi, karena talentanya yang luar biasa dalam peperangan, juga reputasi terkenalnya sebagai komandan yang sangat menekankan disiplin. Hanya dialah satu-satunya marsekal Napoleon yang tidak pernah terkalahkan dalam pertempuran sampai dengan berakhirnya Perang Napoleon. Dia berada di peringkat atas bersama dengan Marsekal André Masséna dan Jean Lannes, sebagai salah satu komandan terbaik Napoleon. Kesetiaan dan kepatuhannya kepada Napoleon sering disebut bersifat mutlak."
http://127.0.0.1:3333/BonAdrienJeannotdeMoncey,https://id.wikipedia.org/wiki/Bon-Adrien_Jeannot_de_Moncey,https://upload.wikimedia.org/wikipedia/commons/f/f2/Flag_of_Great_Britain_%281707%E2%80%931800%29.svg,"Bon-Adrien Jeannot de Moncey (atau Jannot de Moncey), Adipati Conegliano ke-1, Baron Conegliano ke-1, Peer of France (31 Juli 1754 – 20 April 1842), adalah seorang prajurit berpengaruh dalam Perang Revolusioner Prancis dan marsekal Kekaisaran pada Peperangan Napoleonik. Ia kemudian menjadi gubernur Hôtel des Invalides. MONCEY adalah salah satu nama yang diukir pada Arc de Triomphe, pada Kolom 33.


== Lihat pula ==
Daftar Marsekal Kekaisaran Prancis Pertama
Peperangan era Napoleon


== Referensi ==
 Artikel ini menyertakan teks dari suatu terbitan yang sekarang berada pada ranah publik: Chisholm, Hugh, ed. (1911)."
http://127.0.0.1:3333/FrederickWilliamIII,https://id.wikipedia.org/wiki/Prusia,https://upload.wikimedia.org/wikipedia/commons/d/d9/Ac.prussiamap3.png,"Prusia (bahasa Jerman: Preußen, bahasa latin: Borussia, Prussia atau Prutenia; bahasa Polandia Prusy; bahasa Russia: Пруссия) adalah kerajaan bangsa Jerman dan negara bersejarah yang berasal dari penggabungan Kadipaten Prusia dan Margraviasi Brandenburg. Selama berabad-abad lamanya, Wangsa Hohenzollern menguasai wilayah Prusia, dan sukses mememperluas wilayahnya dengan mengandalkan pasukan darat yang teratur dan efektif. Prusia memiliki andil besar dalam membentuk sejarah Jerman, dengan ibu kotanya di Berlin setelah tahun 1451.
Selepas tahun 1871, Prusia bersatu dengan Jerman, yang berakibat pada hilangnya identitas Prusia di dalam Kekaisaran Jerman. Penghapusan identitas itu sendiri faktualnya dihapuskan pada tahun 1932 tanpa masalah, dan dengan resmi pada tahun 1947."
http://127.0.0.1:3333/CountBennigsen,https://id.wikipedia.org/wiki/Pertempuran_Friedland,https://upload.wikimedia.org/wikipedia/commons/0/07/Friedland_mazurovsky.jpg,"Pertempuran Friedland (14 Juni 1807) adalah pertempuran antara Kekaisaran Prancis Pertama dan Rusia di Friedland, Prusia. Napoleon Bonaparte dapat menaklukan tentara Rusia di bawah Levin Augusut, Count von Bennigsen.
Setelah pertempuran ini, Tsar Alexander I mulai bernegosiasi esepakatan damai dengan Prancis kurang dari satu minggu setelah peperangan. Pada tanggal 7 Juli, Alexander dan Napoleon menandatangani Perjanjian Tilsit, sekaligus menandai berakhirnya perang Koalisi keempat. Pada tanggal 9 Juli, terjadi Perjanjian Tilsit Kedua antara Prancis dan Prussia."
